"stream"	"patch"	"mother_pl_id_old"	"mother_pl_id_new"	"offspring_id_new"	"corrected"	"diam_fl_mean"	"first_fl"	"last_fl"	"first_bud"	"last_bud"	"peak_fl"	"mean_fl"	"dur_fl"	"temp_ori"
"168"	"17"	"3"	"327"	"1081"	"5"	"YES"	6.66666666666667	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-16	17323.5	19	11.5
"169"	"17"	"3"	"327"	"1081"	"4"	"YES"	5.5	2017-05-21	2017-06-09	2017-05-21	2017-06-02	2017-05-24	17316.5	19	11.5
"170"	"17"	"3"	"327"	"1081"	"7"	"YES"	NA	2017-05-24	2017-05-24	2017-05-28	2017-06-02	2017-05-24	17310	0	11.5
"171"	"17"	"3"	"327"	"1081"	"2"	"YES"	5.66666666666667	2017-05-21	2017-06-09	2017-05-21	2017-06-02	2017-06-02	17316.5	19	11.5
"172"	"WS"	"2"	"333"	"333"	"4"	"NO"	NA	2017-05-28	2017-06-09	2017-05-28	2017-06-02	2017-05-28	17320	12	30.9
"173"	"WS"	"2"	"333"	"333"	"10"	"NO"	NA	2017-06-16	2017-06-16	NA	NA	2017-06-16	17333	0	30.9
"174"	"WS"	"2"	"333"	"333"	"1"	"NO"	NA	2017-06-09	2017-06-16	2017-06-09	2017-06-16	2017-06-09	17329.5	7	30.9
"175"	"17"	"2"	"353"	"353"	"8"	"NO"	6.5	2017-05-24	2017-06-09	2017-05-24	2017-06-02	2017-06-02	17318	16	10.7
"176"	"17"	"2"	"353"	"353"	"5"	"NO"	6.5	2017-05-28	2017-06-09	2017-05-28	2017-06-02	2017-06-02	17320	12	10.7
"177"	"17"	"2"	"353"	"353"	"6"	"NO"	NA	2017-05-24	2017-05-24	2017-05-24	2017-06-02	2017-05-24	17310	0	10.7
"178"	"17"	"2"	"353"	"353"	"7"	"NO"	7	2017-06-02	2017-06-16	2017-06-02	2017-06-02	2017-06-02	17326	14	10.7
"179"	"17"	"2"	"353"	"353"	"3"	"NO"	6.83333333333333	2017-06-02	2017-06-09	2017-06-02	2017-06-02	2017-06-02	17322.5	7	10.7
"180"	"17"	"2"	"353"	"353"	"10"	"NO"	6	2017-05-24	2017-06-16	2017-05-28	2017-06-02	2017-05-28	17321.5	23	10.7
"181"	"17"	"2"	"353"	"353"	"9"	"NO"	NA	2017-05-24	2017-06-09	2017-05-18	2017-06-09	2017-06-02	17318	16	10.7
"182"	"17"	"2"	"353"	"353"	"4"	"NO"	NA	2017-05-24	2017-05-28	2017-05-24	2017-06-02	2017-05-24	17312	4	10.7
"183"	"17"	"5"	"357"	"1082"	"1"	"YES"	NA	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-02	17323.5	19	9.9
"184"	"17"	"5"	"357"	"1082"	"3"	"YES"	NA	2017-05-24	2017-05-28	2017-05-28	2017-05-28	2017-05-24	17312	4	9.9
"185"	"17"	"5"	"357"	"1082"	"9"	"YES"	9	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-16	17323.5	19	9.9
"186"	"17"	"5"	"357"	"1082"	"5"	"YES"	NA	2017-05-28	2017-05-28	2017-06-02	2017-06-09	2017-05-28	17314	0	9.9
"187"	"17"	"5"	"357"	"1082"	"2"	"YES"	7.66666666666667	2017-06-02	2017-06-16	2017-05-28	2017-06-16	2017-06-09	17326	14	9.9
"188"	"17"	"5"	"357"	"1082"	"10"	"YES"	NA	2017-05-24	2017-05-28	2017-05-24	2017-05-28	2017-05-24	17312	4	9.9
"189"	"17"	"5"	"357"	"1082"	"6"	"YES"	6	2017-05-24	2017-06-09	2017-05-24	2017-06-09	2017-06-09	17318	16	9.9
"190"	"17"	"5"	"357"	"1082"	"7"	"YES"	7.16666666666667	2017-05-24	2017-06-16	2017-05-28	2017-06-16	2017-06-09	17321.5	23	9.9
"191"	"17"	"5"	"357"	"1082"	"4"	"YES"	NA	2017-05-28	2017-06-02	2017-06-02	2017-06-16	2017-05-28	17316.5	5	9.9
"192"	"Main"	"1"	"377"	"377"	"2"	"NO"	5.83333333333333	2017-06-02	2017-06-19	2017-06-02	2017-06-16	2017-06-16	17327.5	17	23.5
"193"	"Main"	"1"	"377"	"377"	"10"	"NO"	7	2017-06-02	2017-06-16	2017-05-28	2017-06-02	2017-06-02	17326	14	23.5
"194"	"Main"	"1"	"377"	"377"	"9"	"NO"	6.33333333333333	2017-05-24	2017-06-09	2017-05-24	2017-06-02	2017-06-02	17318	16	23.5
"195"	"Main"	"1"	"377"	"377"	"6"	"NO"	7	2017-06-02	2017-06-16	2017-06-02	2017-06-16	2017-06-09	17326	14	23.5
"196"	"Main"	"1"	"377"	"377"	"7"	"NO"	NA	NA	NA	2017-05-28	2017-06-02	NA	NA	NA	23.5
"197"	"Main"	"1"	"377"	"377"	"8"	"NO"	5.66666666666667	2017-05-28	2017-06-09	2017-05-28	2017-06-09	2017-06-09	17320	12	23.5
"198"	"Park"	"4"	"378"	"378"	"1"	"NO"	NA	2017-05-24	2017-06-02	2017-05-24	2017-06-02	2017-05-28	17314.5	9	14.8
"199"	"Park"	"4"	"378"	"378"	"4"	"NO"	NA	2017-05-24	2017-06-02	2017-05-24	2017-06-02	2017-05-24	17314.5	9	14.8
"200"	"Park"	"4"	"378"	"378"	"5"	"NO"	NA	NA	NA	2017-06-02	2017-06-02	NA	NA	NA	14.8
"201"	"Park"	"4"	"378"	"378"	"7"	"NO"	NA	2017-05-28	2017-06-02	2017-05-28	2017-05-28	2017-05-28	17316.5	5	14.8
"202"	"Park"	"4"	"378"	"378"	"10"	"NO"	NA	2017-06-09	2017-06-09	2017-06-02	2017-06-02	2017-06-09	17326	0	14.8
"203"	"Park"	"4"	"378"	"378"	"8"	"NO"	6.5	2017-05-28	2017-06-16	2017-05-28	2017-06-02	2017-06-02	17323.5	19	14.8
"204"	"Park"	"4"	"378"	"378"	"9"	"NO"	NA	2017-05-28	2017-05-28	2017-05-24	2017-06-02	2017-05-28	17314	0	14.8
"205"	"Park"	"4"	"378"	"378"	"3"	"NO"	NA	NA	NA	2017-05-28	2017-06-02	NA	NA	NA	14.8
"206"	"Park"	"5"	"389"	"389"	"7"	"NO"	6.5	2017-05-24	2017-06-02	2017-05-24	2017-06-02	2017-06-02	17314.5	9	15.6
"207"	"Park"	"5"	"389"	"389"	"10"	"NO"	NA	2017-05-28	2017-06-16	2017-05-21	2017-06-02	2017-05-28	17323.5	19	15.6
"208"	"Park"	"5"	"389"	"389"	"9"	"NO"	6.33333333333333	2017-05-21	2017-06-09	2017-05-21	2017-06-02	2017-06-02	17316.5	19	15.6
"209"	"Park"	"5"	"389"	"389"	"8"	"NO"	7.5	2017-05-24	2017-06-09	2017-05-24	2017-06-02	2017-06-02	17318	16	15.6
"210"	"Park"	"5"	"389"	"389"	"5"	"NO"	NA	2017-05-18	2017-05-28	2017-05-11	2017-06-02	2017-05-24	17309	10	15.6
"211"	"Main"	"12"	"392"	"392"	"9"	"NO"	7.83333333333333	2017-06-02	2017-06-19	2017-06-02	2017-06-16	2017-06-16	17327.5	17	15
"212"	"Main"	"12"	"392"	"392"	"7"	"NO"	NA	2017-06-02	2017-06-16	2017-05-28	2017-06-09	2017-06-16	17326	14	15
"213"	"Main"	"12"	"392"	"392"	"4"	"NO"	8.66666666666667	2017-05-28	2017-06-16	2017-06-02	2017-06-16	2017-06-09	17323.5	19	15
"214"	"Main"	"12"	"392"	"392"	"6"	"NO"	8.5	2017-05-28	2017-06-16	2017-06-02	2017-06-16	2017-06-02	17323.5	19	15
"215"	"Main"	"12"	"392"	"392"	"5"	"NO"	NA	2017-06-16	2017-06-16	2017-06-09	2017-06-16	2017-06-16	17333	0	15
"216"	"Main"	"12"	"392"	"392"	"10"	"NO"	6.66666666666667	2017-06-02	2017-06-16	2017-05-28	2017-06-16	2017-06-09	17326	14	15
"217"	"Main"	"12"	"392"	"392"	"3"	"NO"	7	2017-05-28	2017-06-16	2017-05-24	2017-06-02	2017-05-28	17323.5	19	15
"218"	"Main"	"12"	"392"	"392"	"8"	"NO"	9.33333333333333	2017-05-28	2017-06-16	2017-06-02	2017-06-16	2017-06-16	17323.5	19	15
"219"	"Main"	"12"	"392"	"392"	"1"	"NO"	NA	2017-05-28	2017-06-16	2017-05-28	2017-06-09	2017-05-28	17323.5	19	15
"220"	"17"	"1"	"42"	"1083"	"6"	"YES"	NA	2017-05-21	2017-06-02	2017-05-21	2017-06-02	2017-05-24	17313	12	12.5
"221"	"17"	"1"	"42"	"1083"	"1"	"YES"	NA	2017-05-24	2017-05-28	2017-05-28	2017-06-02	2017-05-24	17312	4	12.5
"222"	"17"	"1"	"42"	"1083"	"9"	"YES"	NA	2017-05-24	2017-06-02	2017-05-21	2017-06-02	2017-05-24	17314.5	9	12.5
"223"	"17"	"1"	"42"	"1083"	"10"	"YES"	NA	2017-05-18	2017-06-02	2017-05-18	2017-06-02	2017-05-28	17311.5	15	12.5
"224"	"17"	"1"	"42"	"1083"	"3"	"YES"	NA	2017-05-24	2017-05-28	2017-05-21	2017-05-28	2017-05-24	17312	4	12.5
"225"	"17"	"1"	"42"	"1083"	"8"	"YES"	NA	2017-05-24	2017-05-28	2017-05-24	2017-06-02	2017-05-24	17312	4	12.5
"226"	"17"	"1"	"42"	"1083"	"5"	"YES"	NA	2017-05-28	2017-05-28	2017-05-28	2017-05-28	2017-05-28	17314	0	12.5
"227"	"Park"	"1"	"428"	"428"	"4"	"NO"	6.5	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-09	17323.5	19	11.5
"228"	"Park"	"1"	"428"	"428"	"10"	"NO"	NA	2017-06-16	2017-06-16	NA	NA	2017-06-16	17333	0	11.5
"229"	"Park"	"1"	"428"	"428"	"3"	"NO"	7	2017-05-24	2017-06-16	2017-05-24	2017-06-16	2017-06-16	17321.5	23	11.5
"230"	"Park"	"1"	"428"	"428"	"8"	"NO"	7.5	2017-05-28	2017-06-09	2017-05-21	2017-06-02	2017-05-28	17320	12	11.5
"231"	"WS"	"1"	"43"	"43"	"1"	"NO"	6.83333333333333	2017-05-28	2017-06-16	2017-05-28	2017-06-02	2017-06-09	17323.5	19	24.4
"232"	"WS"	"1"	"43"	"43"	"7"	"NO"	7	2017-06-09	2017-06-16	2017-06-16	2017-06-16	2017-06-09	17329.5	7	24.4
"233"	"WS"	"1"	"43"	"43"	"2"	"NO"	NA	2017-05-28	2017-06-09	2017-05-28	2017-06-02	2017-06-02	17320	12	24.4
"234"	"WS"	"1"	"43"	"43"	"10"	"NO"	NA	2017-05-28	2017-06-09	2017-05-28	2017-06-02	2017-06-02	17320	12	24.4
"235"	"WS"	"1"	"43"	"43"	"4"	"NO"	NA	2017-06-02	2017-06-02	NA	NA	2017-06-02	17319	0	24.4
"236"	"WS"	"1"	"43"	"43"	"3"	"NO"	NA	2017-06-02	2017-06-16	2017-05-18	2017-06-09	2017-06-02	17326	14	24.4
"237"	"Park"	"2"	"432"	"432"	"6"	"NO"	6.83333333333333	2017-05-24	2017-06-16	2017-05-24	2017-06-16	2017-06-09	17321.5	23	13.4
"238"	"Park"	"2"	"432"	"432"	"10"	"NO"	NA	2017-05-21	2017-06-02	2017-05-21	2017-06-02	2017-05-24	17313	12	13.4
"239"	"Park"	"2"	"432"	"432"	"3"	"NO"	NA	2017-05-21	2017-05-28	2017-05-21	2017-06-02	2017-05-24	17310.5	7	13.4
"240"	"Park"	"2"	"432"	"432"	"8"	"NO"	6.5	2017-05-24	2017-06-16	2017-05-24	2017-06-16	2017-06-09	17321.5	23	13.4
"241"	"Park"	"2"	"432"	"432"	"1"	"NO"	NA	2017-05-21	2017-06-02	2017-05-21	2017-06-02	2017-05-24	17313	12	13.4
"242"	"Park"	"2"	"432"	"432"	"4"	"NO"	5.5	2017-05-21	2017-06-02	2017-05-21	2017-06-02	2017-05-24	17313	12	13.4
"243"	"Park"	"2"	"432"	"432"	"7"	"NO"	NA	2017-05-24	2017-05-28	2017-05-21	2017-05-28	2017-05-24	17312	4	13.4
"244"	"Park"	"2"	"432"	"432"	"5"	"NO"	5	2017-05-24	2017-06-02	2017-05-21	2017-06-02	2017-05-28	17314.5	9	13.4
"245"	"Park"	"2"	"432"	"432"	"2"	"NO"	7.5	2017-05-24	2017-06-16	2017-05-18	2017-06-16	2017-05-28	17321.5	23	13.4
"246"	"Park"	"2"	"432"	"432"	"9"	"NO"	7.33333333333333	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-09	17323.5	19	13.4
"247"	"Park"	"2"	"441"	"441"	"7"	"NO"	7	2017-05-24	2017-06-09	2017-05-24	2017-06-02	2017-05-28	17318	16	13.2
"248"	"Park"	"2"	"441"	"441"	"1"	"NO"	6.5	2017-05-24	2017-06-16	2017-05-28	2017-06-02	2017-05-24	17321.5	23	13.2
"249"	"Park"	"2"	"441"	"441"	"4"	"NO"	5.16666666666667	2017-06-02	2017-06-16	2017-06-02	2017-06-02	2017-06-02	17326	14	13.2
"250"	"Park"	"2"	"441"	"441"	"8"	"NO"	NA	NA	NA	2017-05-28	2017-06-02	NA	NA	NA	13.2
"251"	"Park"	"2"	"441"	"441"	"10"	"NO"	NA	2017-06-09	2017-06-09	NA	NA	2017-06-09	17326	0	13.2
"252"	"Park"	"2"	"441"	"441"	"2"	"NO"	NA	2017-05-24	2017-06-16	2017-05-24	2017-06-02	2017-05-24	17321.5	23	13.2
"253"	"WS"	"4"	"443"	"443"	"4"	"NO"	NA	2017-06-16	2017-06-16	2017-05-28	2017-05-28	2017-06-16	17333	0	29.8
"254"	"Park"	"4"	"447"	"447"	"10"	"NO"	NA	2017-05-28	2017-05-28	2017-05-28	2017-06-02	2017-05-28	17314	0	15.9
"255"	"Park"	"4"	"447"	"447"	"9"	"NO"	NA	2017-06-16	2017-06-16	NA	NA	2017-06-16	17333	0	15.9
"256"	"Park"	"4"	"447"	"447"	"6"	"NO"	NA	2017-05-21	2017-05-28	2017-05-21	2017-06-02	2017-05-24	17310.5	7	15.9
"257"	"Park"	"4"	"447"	"447"	"8"	"NO"	NA	2017-06-09	2017-06-09	NA	NA	2017-06-09	17326	0	15.9
"258"	"Park"	"4"	"447"	"447"	"7"	"NO"	NA	2017-05-24	2017-06-02	2017-05-21	2017-06-02	2017-05-24	17314.5	9	15.9
"259"	"Park"	"4"	"447"	"447"	"2"	"NO"	NA	NA	NA	2017-06-02	2017-06-02	NA	NA	NA	15.9
"260"	"Park"	"4"	"447"	"447"	"5"	"NO"	NA	2017-06-09	2017-06-09	NA	NA	2017-06-09	17326	0	15.9
"261"	"Park"	"3"	"466"	"466"	"10"	"NO"	NA	2017-06-02	2017-06-02	NA	NA	2017-06-02	17319	0	16.3
"262"	"Park"	"3"	"466"	"466"	"4"	"NO"	5.5	2017-05-28	2017-06-16	2017-05-21	2017-06-09	2017-06-09	17323.5	19	16.3
"263"	"17"	"4"	"49"	"49"	"8"	"NO"	NA	2017-05-21	2017-06-09	2017-05-21	2017-06-02	2017-06-09	17316.5	19	12.2
"264"	"17"	"4"	"49"	"49"	"3"	"NO"	NA	2017-05-24	2017-06-09	2017-05-24	2017-06-02	2017-06-09	17318	16	12.2
"265"	"17"	"4"	"49"	"49"	"4"	"NO"	NA	2017-05-24	2017-06-02	2017-05-24	2017-06-02	2017-06-02	17314.5	9	12.2
"266"	"17"	"4"	"49"	"49"	"6"	"NO"	NA	2017-05-24	2017-05-28	2017-05-24	2017-06-02	2017-05-24	17312	4	12.2
"267"	"17"	"4"	"49"	"49"	"10"	"NO"	NA	2017-05-24	2017-05-24	2017-05-24	2017-05-24	2017-05-24	17310	0	12.2
"268"	"17"	"4"	"49"	"49"	"2"	"NO"	NA	2017-05-24	2017-05-28	2017-05-28	2017-06-02	2017-05-28	17312	4	12.2
"269"	"17"	"4"	"49"	"49"	"1"	"NO"	6.33333333333333	2017-05-24	2017-06-02	2017-05-24	2017-06-02	2017-06-02	17314.5	9	12.2
"270"	"17"	"4"	"49"	"49"	"9"	"NO"	NA	2017-05-24	2017-06-09	2017-05-18	2017-06-02	2017-06-09	17318	16	12.2
"271"	"17"	"4"	"49"	"49"	"7"	"NO"	NA	2017-05-24	2017-05-28	2017-05-18	2017-06-02	2017-05-24	17312	4	12.2
"272"	"WS"	"3"	"5"	"5"	"2"	"NO"	NA	NA	NA	2017-05-28	2017-06-02	NA	NA	NA	30.8
"273"	"WS"	"3"	"5"	"5"	"6"	"NO"	6.5	NA	NA	2017-05-28	2017-06-02	NA	NA	NA	30.8
"274"	"WS"	"3"	"5"	"5"	"10"	"NO"	NA	2017-05-28	2017-06-02	2017-05-28	2017-06-02	2017-06-02	17316.5	5	30.8
"275"	"17"	"3"	"51"	"51"	"3"	"NO"	5.83333333333333	2017-06-02	2017-06-09	2017-06-02	2017-06-02	2017-06-09	17322.5	7	12.5
"276"	"17"	"3"	"51"	"51"	"2"	"NO"	6.5	2017-05-24	2017-06-09	2017-05-24	2017-06-02	2017-06-02	17318	16	12.5
"277"	"WS"	"5"	"521"	"521"	"10"	"NO"	9.66666666666667	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-16	17323.5	19	26
"278"	"WS"	"5"	"521"	"521"	"3"	"NO"	NA	2017-06-02	2017-06-02	2017-05-28	2017-06-02	2017-06-02	17319	0	26
"279"	"WS"	"5"	"521"	"521"	"6"	"NO"	6.66666666666667	2017-06-02	2017-06-09	2017-05-28	2017-06-02	2017-06-09	17322.5	7	26
"280"	"WS"	"5"	"521"	"521"	"7"	"NO"	6.83333333333333	2017-05-24	2017-06-16	2017-05-28	2017-06-16	2017-06-09	17321.5	23	26
"281"	"WS"	"5"	"521"	"521"	"8"	"NO"	5.5	2017-06-02	2017-06-19	2017-06-09	2017-06-16	2017-06-09	17327.5	17	26
"282"	"WS"	"5"	"521"	"521"	"9"	"NO"	6.5	2017-06-02	2017-06-19	2017-06-02	2017-06-16	2017-06-09	17327.5	17	26
"283"	"Main"	"1"	"522"	"522"	"5"	"NO"	NA	2017-06-02	2017-06-09	2017-05-28	2017-06-09	2017-06-02	17322.5	7	22.2
"284"	"Main"	"1"	"522"	"522"	"3"	"NO"	NA	2017-06-02	2017-06-02	2017-05-28	2017-05-28	2017-06-02	17319	0	22.2
"285"	"Main"	"1"	"522"	"522"	"1"	"NO"	5	2017-06-09	2017-06-16	2017-06-09	2017-06-16	2017-06-09	17329.5	7	22.2
"286"	"Main"	"1"	"522"	"522"	"7"	"NO"	5.5	2017-06-09	2017-06-09	2017-06-09	2017-06-09	2017-06-09	17326	0	22.2
"287"	"Main"	"1"	"522"	"522"	"8"	"NO"	NA	2017-06-09	2017-06-09	2017-05-28	2017-06-02	2017-06-09	17326	0	22.2
"288"	"Main"	"1"	"522"	"522"	"4"	"NO"	NA	2017-06-09	2017-06-09	2017-05-28	2017-06-02	2017-06-09	17326	0	22.2
"289"	"Main"	"1"	"522"	"522"	"6"	"NO"	6.33333333333333	2017-05-24	2017-06-16	2017-05-28	2017-06-16	2017-06-09	17321.5	23	22.2
"290"	"Main"	"1"	"522"	"522"	"10"	"NO"	6.83333333333333	2017-05-28	2017-06-16	2017-06-02	2017-06-16	2017-06-09	17323.5	19	22.2
"291"	"Main"	"12"	"524"	"524"	"6"	"NO"	NA	2017-05-28	2017-06-09	2017-05-28	2017-06-02	2017-05-28	17320	12	15.1
"292"	"Main"	"12"	"524"	"524"	"2"	"NO"	7.66666666666667	2017-05-28	2017-06-16	2017-05-28	2017-06-02	2017-06-02	17323.5	19	15.1
"293"	"Main"	"12"	"524"	"524"	"3"	"NO"	8	2017-05-28	2017-06-16	2017-05-28	2017-06-02	2017-05-28	17323.5	19	15.1
"294"	"Main"	"12"	"524"	"524"	"5"	"NO"	8.16666666666667	2017-06-02	2017-06-16	2017-05-24	2017-06-02	2017-06-02	17326	14	15.1
"295"	"Main"	"12"	"524"	"524"	"1"	"NO"	NA	2017-05-28	2017-05-28	2017-05-28	2017-06-02	2017-05-28	17314	0	15.1
"296"	"Main"	"12"	"524"	"524"	"4"	"NO"	NA	2017-06-09	2017-06-09	2017-05-28	2017-06-09	2017-06-09	17326	0	15.1
"297"	"Main"	"12"	"524"	"524"	"10"	"NO"	7.83333333333333	2017-05-24	2017-06-16	2017-05-24	2017-06-16	2017-06-09	17321.5	23	15.1
"298"	"WS"	"1"	"53"	"53"	"5"	"NO"	6.66666666666667	2017-06-02	2017-06-16	2017-05-28	2017-06-02	2017-06-09	17326	14	24
"299"	"WS"	"1"	"53"	"53"	"1"	"NO"	6.5	2017-06-09	2017-06-16	2017-06-16	2017-06-16	2017-06-09	17329.5	7	24
"300"	"WS"	"1"	"53"	"53"	"3"	"NO"	7	2017-06-02	2017-06-16	2017-06-02	2017-06-02	2017-06-09	17326	14	24
"301"	"WS"	"1"	"53"	"53"	"2"	"NO"	6.66666666666667	2017-06-02	2017-06-09	2017-06-02	2017-06-02	2017-06-02	17322.5	7	24
"302"	"WS"	"1"	"53"	"53"	"4"	"NO"	NA	2017-05-28	2017-06-09	2017-05-28	2017-05-28	2017-06-09	17320	12	24
"303"	"Main"	"12"	"530"	"530"	"6"	"NO"	8	2017-05-24	2017-06-16	2017-05-28	2017-06-16	2017-06-09	17321.5	23	14.3
"304"	"Main"	"12"	"530"	"530"	"8"	"NO"	6.33333333333333	2017-06-02	2017-06-09	2017-06-02	2017-06-02	2017-06-09	17322.5	7	14.3
"305"	"Main"	"12"	"530"	"530"	"5"	"NO"	NA	2017-06-02	2017-06-19	2017-06-02	2017-06-16	2017-06-19	17327.5	17	14.3
"306"	"Main"	"11"	"531"	"531"	"9"	"NO"	8	2017-05-28	2017-06-09	2017-05-28	2017-06-02	2017-06-02	17320	12	16.8
"307"	"Main"	"11"	"531"	"531"	"2"	"NO"	NA	2017-05-24	2017-06-16	2017-05-28	2017-05-28	2017-05-24	17321.5	23	16.8
"308"	"Main"	"11"	"531"	"531"	"1"	"NO"	9.5	2017-05-24	2017-06-16	2017-05-21	2017-06-09	2017-05-28	17321.5	23	16.8
"309"	"Main"	"11"	"531"	"531"	"4"	"NO"	NA	2017-05-21	2017-06-09	2017-05-21	2017-06-09	2017-06-02	17316.5	19	16.8
"310"	"WS"	"4"	"542"	"542"	"3"	"NO"	NA	2017-05-28	2017-06-19	2017-05-28	2017-06-02	2017-05-28	17325	22	32.4
"311"	"WS"	"4"	"542"	"542"	"4"	"NO"	6.66666666666667	2017-06-09	2017-06-16	2017-06-09	2017-06-09	2017-06-16	17329.5	7	32.4
"312"	"WS"	"4"	"542"	"542"	"10"	"NO"	NA	2017-05-28	2017-06-16	2017-05-28	2017-06-09	2017-05-28	17323.5	19	32.4
"313"	"WS"	"4"	"542"	"542"	"5"	"NO"	7	2017-05-28	2017-06-16	2017-05-28	2017-06-09	2017-06-09	17323.5	19	32.4
"314"	"WS"	"4"	"542"	"542"	"7"	"NO"	NA	2017-06-09	2017-06-09	NA	NA	2017-06-09	17326	0	32.4
"315"	"Main"	"1"	"553"	"1084"	"4"	"YES"	NA	2017-06-02	2017-06-02	2017-05-28	2017-06-09	2017-06-02	17319	0	22.2
"316"	"Main"	"1"	"553"	"1084"	"1"	"YES"	5.83333333333333	2017-06-09	2017-06-09	2017-06-09	2017-06-09	2017-06-09	17326	0	22.2
"317"	"Main"	"1"	"553"	"1084"	"6"	"YES"	NA	2017-05-24	2017-06-02	2017-05-28	2017-06-02	2017-06-02	17314.5	9	22.2
"318"	"Main"	"1"	"553"	"1084"	"10"	"YES"	6.16666666666667	2017-06-02	2017-06-16	2017-06-02	2017-06-09	2017-06-09	17326	14	22.2
"319"	"Main"	"1"	"553"	"1084"	"2"	"YES"	6.66666666666667	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-16	17323.5	19	22.2
"320"	"Park"	"3"	"558"	"558"	"7"	"NO"	NA	2017-05-24	2017-06-02	2017-05-18	2017-06-02	2017-05-24	17314.5	9	15.7
"321"	"Park"	"3"	"558"	"558"	"6"	"NO"	6.75	2017-05-28	2017-06-16	2017-05-24	2017-06-02	2017-06-09	17323.5	19	15.7
"322"	"Park"	"3"	"558"	"558"	"4"	"NO"	NA	2017-05-21	2017-06-02	2017-05-28	2017-06-02	2017-06-02	17313	12	15.7
"323"	"Park"	"3"	"558"	"558"	"1"	"NO"	NA	2017-05-28	2017-06-02	NA	NA	2017-05-28	17316.5	5	15.7
"324"	"Park"	"3"	"558"	"558"	"10"	"NO"	NA	2017-06-02	2017-06-09	2017-05-21	2017-06-02	2017-06-02	17322.5	7	15.7
"325"	"Park"	"3"	"558"	"558"	"2"	"NO"	NA	2017-05-24	2017-06-02	2017-05-21	2017-06-02	2017-05-24	17314.5	9	15.7
"326"	"Park"	"3"	"558"	"558"	"9"	"NO"	NA	NA	NA	2017-06-02	2017-06-02	NA	NA	NA	15.7
"327"	"Park"	"3"	"558"	"558"	"5"	"NO"	NA	2017-05-24	2017-06-02	2017-05-24	2017-06-02	2017-05-28	17314.5	9	15.7
"328"	"Park"	"3"	"558"	"558"	"8"	"NO"	NA	2017-05-28	2017-05-28	2017-06-02	2017-06-02	2017-05-28	17314	0	15.7
"329"	"Park"	"3"	"558"	"558"	"3"	"NO"	9	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-09	17323.5	19	15.7
"330"	"Main"	"5"	"559"	"559"	"9"	"NO"	NA	2017-06-09	2017-06-16	NA	NA	2017-06-09	17329.5	7	20.5
"331"	"Main"	"5"	"559"	"559"	"3"	"NO"	NA	2017-06-09	2017-06-09	2017-05-21	2017-06-09	2017-06-09	17326	0	20.5
"332"	"Main"	"5"	"559"	"559"	"1"	"NO"	NA	2017-06-02	2017-06-09	2017-06-02	2017-06-02	2017-06-09	17322.5	7	20.5
"333"	"Main"	"5"	"559"	"559"	"7"	"NO"	NA	2017-06-02	2017-06-16	2017-06-02	2017-06-16	2017-06-02	17326	14	20.5
"334"	"Main"	"5"	"559"	"559"	"5"	"NO"	8.5	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-16	17323.5	19	20.5
"335"	"Main"	"2"	"567"	"567"	"7"	"NO"	7.16666666666667	2017-06-09	2017-06-19	2017-06-16	2017-06-16	2017-06-16	17331	10	22.4
"336"	"Main"	"2"	"567"	"567"	"9"	"NO"	NA	NA	NA	2017-05-24	2017-06-09	NA	NA	NA	22.4
"337"	"Main"	"2"	"567"	"567"	"5"	"NO"	5.83333333333333	2017-06-09	2017-06-16	2017-05-28	2017-06-09	2017-06-09	17329.5	7	22.4
"338"	"Main"	"2"	"567"	"567"	"2"	"NO"	NA	2017-06-02	2017-06-16	2017-05-28	2017-06-09	2017-06-16	17326	14	22.4
"339"	"Park"	"4"	"595"	"595"	"1"	"NO"	NA	2017-05-24	2017-06-02	2017-05-28	2017-06-09	2017-05-24	17314.5	9	14.4
"340"	"Park"	"4"	"595"	"595"	"5"	"NO"	NA	2017-05-21	2017-06-09	2017-05-21	2017-06-02	2017-05-28	17316.5	19	14.4
"341"	"Park"	"4"	"595"	"595"	"8"	"NO"	7	2017-05-28	2017-06-16	2017-05-28	2017-06-02	2017-06-16	17323.5	19	14.4
"342"	"Park"	"4"	"595"	"595"	"4"	"NO"	NA	2017-05-21	2017-06-09	2017-05-18	2017-06-02	2017-05-28	17316.5	19	14.4
"343"	"Park"	"4"	"595"	"595"	"3"	"NO"	NA	2017-06-02	2017-06-16	2017-05-21	2017-06-02	2017-06-16	17326	14	14.4
"344"	"Park"	"4"	"595"	"595"	"10"	"NO"	7	2017-05-21	2017-06-02	2017-05-21	2017-06-02	2017-05-24	17313	12	14.4
"345"	"Park"	"4"	"595"	"595"	"6"	"NO"	7.66666666666667	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-05-28	17323.5	19	14.4
