"stream"	"patch"	"mother_pl_id_old"	"mother_pl_id_new"	"offspring_id_new"	"corrected"	"diam_fl_mean"	"first_fl"	"last_fl"	"first_bud"	"last_bud"	"peak_fl"	"mean_fl"	"dur_fl"	"temp_ori"
"39"	"17"	"2"	"120"	"1077"	"2"	"YES"	6	2017-06-09	2017-06-16	NA	NA	2017-06-09	17329.5	7	12.6
"40"	"17"	"2"	"120"	"1077"	"4"	"YES"	5.66666666666667	2017-05-21	2017-06-02	2017-05-21	2017-06-02	2017-05-28	17313	12	12.6
"41"	"17"	"2"	"120"	"1077"	"6"	"YES"	NA	NA	NA	2017-05-28	2017-05-28	NA	NA	NA	12.6
"42"	"17"	"2"	"120"	"1077"	"3"	"YES"	5.66666666666667	2017-06-02	2017-06-09	2017-05-28	2017-05-28	2017-06-02	17322.5	7	12.6
"43"	"17"	"1"	"122"	"1078"	"1"	"YES"	NA	NA	NA	2017-05-28	2017-06-02	NA	NA	NA	11.2
"44"	"17"	"1"	"122"	"1078"	"2"	"YES"	NA	2017-05-24	2017-05-24	2017-05-28	2017-06-02	2017-05-24	17310	0	11.2
"45"	"17"	"1"	"122"	"1078"	"8"	"YES"	8.66666666666667	2017-05-28	2017-06-16	2017-05-28	2017-06-16	2017-06-09	17323.5	19	11.2
"46"	"17"	"1"	"122"	"1078"	"3"	"YES"	NA	2017-06-02	2017-06-02	2017-05-28	2017-06-02	2017-06-02	17319	0	11.2
"47"	"17"	"1"	"122"	"1078"	"7"	"YES"	NA	2017-05-28	2017-06-02	2017-05-28	2017-06-02	2017-06-02	17316.5	5	11.2
"48"	"17"	"3"	"127"	"127"	"8"	"NO"	9.33333333333333	2017-05-24	2017-06-16	2017-05-28	2017-06-09	2017-05-28	17321.5	23	10.5
"49"	"17"	"3"	"127"	"127"	"5"	"NO"	4.83333333333333	2017-05-24	2017-06-16	2017-05-21	2017-06-09	2017-06-09	17321.5	23	10.5
