"id"	"plot"	"FFD"	"mean_temp"	"temp1"	"n_fr"	"total_seeds"	"seed_data"	"n_fruits"	"n_seeds"	"seeds_per_fr"	"diam1"	"diam2"	"nstems"	"nfl"	"maxh"	"medianh"	"area"
"194"	"H392"	"H10"	2017-06-26	20.7666666666667	18	4	128	"yes"	4	128	32	60	32	1	32	60	2.7	6031.8578948924
"195"	"H393"	"H10"	2017-06-19	22.3666666666667	19	8	NA	"no"	8	NA	NA	22	58	4	5	97	3.25	4008.67222598058
"196"	"H394"	"H10"	2017-07-03	12.2666666666667	12	3	82	"yes"	3	82	27.3333333333333	33	6	1	24	85	4.2	622.035345410779
"197"	"H395"	"H10"	NA	12.6	12	NA	NA	NA	NA	NA	NA	29	19	1	2	82	3.5	1731.01755212798
"198"	"H396"	"H10"	2017-06-26	10.6333333333333	10.7	9	76.5	"yes"	9	76.5	8.5	32	27	1	37	15	6	2714.33605270158
"199"	"H397"	"H10"	2017-06-19	11.5	11.3	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"200"	"H398"	"H10"	NA	23.5666666666667	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"201"	"H399"	"H10"	2017-06-19	19.4666666666667	19.9	6	177	"yes"	6	177	29.5	76	51	2	42	24	8.7	12176.813125314
"202"	"H4"	"H01"	2017-06-21	24.3333333333333	25	NA	NA	NA	0	0	NA	30	14	1	37	107	6.6	1319.46891450771
"203"	"H40"	"H02"	2017-07-17	21.5333333333333	24.7	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"204"	"H400"	"H04"	2017-07-02	17.8666666666667	18	9	357.75	"yes"	9	357.75	39.75	NA	NA	NA	NA	NA	NA	NA
"205"	"H401"	"H04"	2017-06-26	14.6666666666667	15	NA	NA	"no"	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"206"	"H402"	"H04"	2017-07-02	17.4333333333333	17.8	NA	NA	"no"	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"207"	"H403"	"H04"	2017-06-26	11.8	11.7	33	1221	"yes"	33	1221	37	NA	NA	NA	NA	NA	NA	NA
"208"	"H404"	"H04"	2017-06-26	11.3666666666667	11.3	12	270	"yes"	12	270	22.5	NA	NA	NA	NA	NA	NA	NA
"209"	"H405"	"H04"	2017-06-19	11.6666666666667	11.3	27	945	"yes"	27	945	35	NA	NA	NA	NA	NA	NA	NA
"210"	"H406"	"H04"	NA	14.3333333333333	14.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"211"	"H407"	"H04"	2017-06-19	15.0666666666667	14.9	7	302.75	"yes"	7	302.75	43.25	NA	NA	NA	NA	NA	NA	NA
"212"	"H408"	"H04"	2017-06-19	11.8666666666667	11.8	31	341	"yes"	31	341	11	NA	NA	NA	NA	NA	NA	NA
"213"	"H409"	"H04"	2017-07-02	11.9666666666667	12	5	65	"yes"	5	65	13	NA	NA	NA	NA	NA	NA	NA
"214"	"H41"	"H02"	2017-07-03	17.6333333333333	18.6	67	3584.5	"yes"	67	3584.5	53.5	NA	NA	NA	NA	NA	NA	NA
"215"	"H410"	"H04"	2017-07-25	23.8	27.9	4	172	"yes"	4	172	43	NA	NA	NA	NA	NA	NA	NA
"216"	"H411"	"H04"	2017-07-16	20.8	24.5	6	183	"yes"	6	183	30.5	NA	NA	NA	NA	NA	NA	NA
"217"	"H412"	"H04"	2017-07-22	22.6333333333333	28.6	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"218"	"H413"	"H04"	NA	23.7333333333333	27.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"219"	"H414"	"H04"	2017-07-02	19.3	21.9	9	369	"yes"	9	369	41	NA	NA	NA	NA	NA	NA	NA
"220"	"H415"	"H04"	NA	29.7	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"221"	"H416"	"H04"	2017-06-19	33.9333333333333	39	65	2047.5	"yes"	65	2047.5	31.5	NA	NA	NA	NA	NA	NA	NA
"222"	"H417"	"H04"	NA	41.5333333333333	43.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"223"	"H418"	"H04"	2017-06-26	41.7333333333333	45.5	4	85.3333333333	"yes"	4	85.3333333333	21.333333333325	NA	NA	NA	NA	NA	NA	NA
"224"	"H419"	"H04"	NA	24.2666666666667	24.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"225"	"H42"	"H02"	NA	21.8	24.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"226"	"H420"	"H05"	2017-06-26	25.0333333333333	27	8	178	"yes"	8	178	22.25	NA	NA	NA	NA	NA	NA	NA
"227"	"H421"	"H05"	2017-06-15	23.1333333333333	25	45	1721.25	"yes"	45	1721.25	38.25	NA	NA	NA	NA	NA	NA	NA
"228"	"H422"	"H05"	2017-06-15	23.4666666666667	25.9	60	2175	"yes"	60	2175	36.25	NA	NA	NA	NA	NA	NA	NA
"229"	"H423"	"H05"	2017-06-15	24.7333333333333	32.3	15	581.25	"yes"	15	581.25	38.75	NA	NA	NA	NA	NA	NA	NA
"230"	"H424"	"H05"	2017-06-15	21.6	21.6	36	1674	"yes"	36	1674	46.5	NA	NA	NA	NA	NA	NA	NA
"231"	"H425"	"H05"	2017-06-18	20.7	21.6	26	1222	"yes"	26	1222	47	NA	NA	NA	NA	NA	NA	NA
"232"	"H426"	"H05"	2017-07-25	21.2666666666667	21.2	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"233"	"H427"	"H05"	2017-06-26	20.3333333333333	20.4	5	210	"yes"	5	210	42	NA	NA	NA	NA	NA	NA	NA
"234"	"H428"	"H05"	NA	20.1333333333333	20.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"235"	"H429"	"H05"	2017-06-22	19.8333333333333	21.6	17	731	"yes"	17	731	43	NA	NA	NA	NA	NA	NA	NA
"236"	"H43"	"H02"	NA	15.7333333333333	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"237"	"H430"	"H05"	2017-06-29	19.8666666666667	20.6	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"238"	"H431"	"H05"	2017-07-18	20.4	21.1	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"239"	"H432"	"H05"	2017-07-02	19.7666666666667	23.4	58	2639	"yes"	58	2639	45.5	NA	NA	NA	NA	NA	NA	NA
"240"	"H433"	"H05"	2017-06-26	21.6666666666667	22.7	33	1328.25	"yes"	33	1328.25	40.25	NA	NA	NA	NA	NA	NA	NA
"241"	"H434"	"H05"	2017-07-09	20.9333333333333	21.4	23	1004.3333333333	"yes"	23	1004.3333333333	43.6666666666652	NA	NA	NA	NA	NA	NA	NA
"242"	"H435"	"H05"	2017-06-26	22.0333333333333	23.7	30	1267.5	"yes"	30	1267.5	42.25	NA	NA	NA	NA	NA	NA	NA
"243"	"H436"	"H05"	NA	21.3666666666667	23.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"244"	"H437"	"H05"	2017-07-02	24.3333333333333	26.5	5	58.3333333333	"yes"	5	58.3333333333	11.66666666666	NA	NA	NA	NA	NA	NA	NA
"245"	"H438"	"H05"	2017-07-02	18.9	19.3	13	325	"yes"	13	325	25	NA	NA	NA	NA	NA	NA	NA
"246"	"H439"	"H05"	2017-07-09	20.7	20.6	51	1249.5	"yes"	51	1249.5	24.5	NA	NA	NA	NA	NA	NA	NA
"247"	"H44"	"H02"	NA	12.65	10.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"248"	"H440"	"H05"	2017-06-26	17.9	19.5	10	250	"yes"	10	250	25	NA	NA	NA	NA	NA	NA	NA
"249"	"H441"	"H05"	2017-06-26	20.5	22	11	418	"yes"	11	418	38	NA	NA	NA	NA	NA	NA	NA
"250"	"H442"	"H05"	2017-07-02	20.5333333333333	21.4	NA	NA	"no"	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"251"	"H443"	"H05"	2017-06-26	20.7	23.6	NA	NA	"no"	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"252"	"H444"	"H05"	2017-07-09	21.4	24.1	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"253"	"H445"	"H05"	NA	20.9	21.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"254"	"H446"	"H05"	2017-06-26	20	21	5	87.5	"yes"	5	87.5	17.5	NA	NA	NA	NA	NA	NA	NA
"255"	"H447"	"H05"	2017-07-13	20.2333333333333	22	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"256"	"H448"	"H05"	2017-06-26	20.2333333333333	21.2	21	1108.8	"yes"	21	1108.8	52.8	NA	NA	NA	NA	NA	NA	NA
"257"	"H449"	"H05"	2017-06-15	21.0333333333333	21.2	28	1344	"yes"	28	1344	48	NA	NA	NA	NA	NA	NA	NA
"258"	"H45"	"H02"	2017-07-10	11.9333333333333	11	3	114	"yes"	3	114	38	NA	NA	NA	NA	NA	NA	NA
"259"	"H46"	"H02"	NA	13.3333333333333	13.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"260"	"H47"	"H02"	2017-07-03	12.7333333333333	12.6	4	154.6666666667	"yes"	4	154.6666666667	38.666666666675	NA	NA	NA	NA	NA	NA	NA
"261"	"H48"	"H02"	2017-06-26	14.3666666666667	16.3	14	416.5	"yes"	14	416.5	29.75	NA	NA	NA	NA	NA	NA	NA
"262"	"H49"	"H02"	2017-06-12	14.1	16.4	19	337.25	"yes"	19	337.25	17.75	NA	NA	NA	NA	NA	NA	NA
"263"	"H5"	"H01"	2017-06-12	29	31	4	106	"yes"	4	106	26.5	2	9	1	32	87	4.5	56.5486677646163
"264"	"H50"	"H02"	2017-06-26	15.1333333333333	17.7	2	80	"yes"	2	80	40	NA	NA	NA	NA	NA	NA	NA
"265"	"H51"	"H02"	NA	16.8666666666667	20.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"266"	"H52"	"H02"	2017-06-30	16.4	20.5	6	64	"yes"	6	64	10.6666666666667	NA	NA	NA	NA	NA	NA	NA
"267"	"H53"	"H02"	2017-07-31	16.0666666666667	19.6	7	138.25	"yes"	7	138.25	19.75	NA	NA	NA	NA	NA	NA	NA
"268"	"H54"	"H02"	2017-07-03	14	15.8	5	170	"yes"	5	170	34	NA	NA	NA	NA	NA	NA	NA
"269"	"H55"	"H02"	2017-06-26	18.7	20.9	3	97.5	"yes"	3	97.5	32.5	NA	NA	NA	NA	NA	NA	NA
"270"	"H56"	"H02"	2017-06-26	18.9666666666667	22.6	25	918.75	"yes"	25	918.75	36.75	NA	NA	NA	NA	NA	NA	NA
"271"	"H57"	"H02"	2017-06-26	21.5666666666667	24.7	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"272"	"H58"	"H02"	NA	15.4333333333333	15.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"273"	"H59"	"H02"	NA	11.7666666666667	10.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"274"	"H6"	"H01"	2017-06-27	27.3666666666667	28	NA	NA	NA	0	0	NA	64	47	2	32	54	1.35	9449.9107019981
"275"	"H60"	"H02"	2017-07-10	13.3666666666667	12.8	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"276"	"H61"	"H03"	2017-06-21	10.3333333333333	10.1	76	3420	"yes"	76	3420	45	NA	NA	NA	NA	NA	NA	NA
"277"	"H62"	"H03"	2017-06-21	10.5333333333333	10.4	184	6578	"yes"	184	6578	35.75	NA	NA	NA	NA	NA	NA	NA
"278"	"H63"	"H03"	2017-07-03	11.0666666666667	11	530	17490	"yes"	530	17490	33	NA	NA	NA	NA	NA	NA	NA
"279"	"H64"	"H03"	NA	11.6	11.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"280"	"H65"	"H03"	2017-06-27	12.0666666666667	12.2	18	882	"yes"	18	882	49	NA	NA	NA	NA	NA	NA	NA
"281"	"H66"	"H03"	NA	11.8333333333333	11.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"282"	"H67"	"H03"	2017-07-03	11.6	11.1	10	257.5	"yes"	10	257.5	25.75	NA	NA	NA	NA	NA	NA	NA
"283"	"H68"	"H03"	2017-06-21	10.4333333333333	10.1	37	999	"yes"	37	999	27	NA	NA	NA	NA	NA	NA	NA
"284"	"H69"	"H03"	2017-06-27	11.3	11	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"285"	"H7"	"H01"	2017-06-21	29.1666666666667	29.4	3	105	"yes"	3	105	35	55	32	1	32	83	4	5529.20307031804
"286"	"H70"	"H03"	2017-06-21	10.7666666666667	10.4	53	2093.5	"yes"	53	2093.5	39.5	NA	NA	NA	NA	NA	NA	NA
"287"	"H71"	"H03"	2017-06-21	10.4333333333333	10	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"288"	"H72"	"H03"	2017-06-21	10.9666666666667	10.7	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"289"	"H73"	"H03"	2017-07-03	11.0666666666667	11	NA	NA	"no"	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"290"	"H74"	"H03"	2017-06-27	10.5	10.6	275	7012.5	"yes"	275	7012.5	25.5	NA	NA	NA	NA	NA	NA	NA
"291"	"H75"	"H03"	2017-06-21	11.8666666666667	12.3	55	1925	"yes"	55	1925	35	NA	NA	NA	NA	NA	NA	NA
"292"	"H76"	"H03"	2017-07-13	11.9	12.1	NA	NA	"no"	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"293"	"H77"	"H03"	NA	12.0333333333333	12.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"294"	"H78"	"H03"	2017-06-21	9.53333333333333	9.4	37	1313.5	"yes"	37	1313.5	35.5	NA	NA	NA	NA	NA	NA	NA
"295"	"H79"	"H03"	2017-06-12	9.43333333333333	9.1	17	340	"yes"	17	340	20	NA	NA	NA	NA	NA	NA	NA
"296"	"H8"	"H01"	2017-06-21	27.3	29	4	150	"yes"	4	150	37.5	67	51	3	42	112	4.87	10734.8220973163
"297"	"H80"	"H03"	2017-06-27	9.26666666666667	9.1	14	549.5	"yes"	14	549.5	39.25	NA	NA	NA	NA	NA	NA	NA
"298"	"H800"	"H10"	2017-06-26	22.0666666666667	21.6	4	178	"yes"	4	178	44.5	81	51	1	32	13	10.4	12977.9192519794
"299"	"H801"	"H10"	NA	19.2666666666667	19.4	NA	NA	NA	NA	NA	NA	54	38	0	1	71	3	6446.54812516626
"300"	"H802"	"H10"	2017-06-19	18.3333333333333	16.6	3	112.5	"yes"	3	112.5	37.5	55	42	2	39	120	7.85	7257.07902979242
"301"	"H803"	"H10"	NA	20.1333333333333	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"302"	"H804"	"H10"	2017-06-30	20.7333333333333	20.2	4	100	"yes"	4	100	25	73	57	2	44	130	7.35	13072.1670315871
"303"	"H805"	"H10"	NA	22.7	20.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"304"	"H806"	"H13"	2017-07-03	20.1	19.3	NA	NA	NA	0	0	NA	48	6	2	37	112	6.5	904.77868423386
"305"	"H807"	"H13"	2017-07-03	22.0333333333333	20.7	NA	NA	NA	0	0	NA	29	6	1	15	105	6.4	546.637121724624
"306"	"H808"	"H13"	NA	21.1666666666667	19	NA	NA	NA	NA	NA	NA	71	51	0	1	89	2	11375.7069986486
"307"	"H809"	"H13"	2017-06-26	23.9	21.8	7	108.5	"yes"	7	108.5	15.5	71	57	2	42	12	6.9	12714.0254690779
"308"	"H81"	"H03"	2017-06-27	9.26666666666667	9.2	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"309"	"H810"	"H13"	2017-06-22	23.3333333333333	20.3	10	275	"yes"	10	275	27.5	34	27	2	42	107	6.4	2883.98205599543
"310"	"H811"	"H13"	2017-06-26	24.5666666666667	22.6	8	160	"yes"	8	160	20	55	46	4	6	130	7	7948.22941358218
"311"	"H812"	"H13"	2017-06-30	26.4333333333333	28	NA	NA	NA	0	0	NA	14	22	14	11	18	8	967.610537305656
"312"	"H813"	"H13"	2017-06-26	25.5666666666667	23.7	22	220	"yes"	22	220	10	18	22	68	43	28	10	1244.07069082156
"313"	"H814"	"H13"	2017-07-03	25.1	23.1	7	172.6666666667	"yes"	7	172.6666666667	24.6666666666714	71	62	2	39	18	9	13829.2908611023
"314"	"H815"	"H13"	2017-06-15	25.5333333333333	23.6	119	1606.5	"yes"	119	1606.5	13.5	27	73	20	40	44	9	6192.07912022548
"315"	"H816"	"H13"	2017-06-15	21.7666666666667	19.9	24	888	"yes"	24	888	37	16	22	7	19	129	5	1105.84061406361
"316"	"H817"	"H13"	2017-06-19	23.5333333333333	23.7	15	318.75	"yes"	15	318.75	21.25	76	62	5	8	121	7	14803.1845837151
"317"	"H818"	"H13"	2017-06-15	21.5	21	12	489	"yes"	12	489	40.75	15	72	6	42	117	5.5083333333	3392.92006587698
"318"	"H819"	"H13"	2017-06-05	22.5333333333333	23	6	234	"yes"	6	234	39	48	42	2	27	108	12.5	6333.45078963702
"319"	"H82"	"H03"	2017-06-21	12	12	NA	NA	"no"	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"320"	"H820"	"H13"	2017-06-12	23.8666666666667	23	29	435	"yes"	29	435	15	73	59	7	26	19	8	13530.8395590112
"321"	"H821"	"H13"	2017-06-26	22.2	22.4	21	971.25	"yes"	21	971.25	46.25	80	71	6	16	120	6	17844.24627239
"322"	"H822"	"H13"	2017-06-12	25.2666666666667	25.7	19	897.75	"yes"	19	897.75	47.25	18	73	10	21	124	6	4128.05274681699
"323"	"H823"	"H13"	2017-06-22	24.3333333333333	24.8	NA	NA	NA	0	0	NA	71	51	1	32	102	6	11375.7069986486
"324"	"H824"	"H13"	2017-06-26	28.2333333333333	25.7	2	76	"yes"	2	76	38	71	57	1	24	106	6.5	12714.0254690779
"325"	"H825"	"H13"	2017-07-03	36.4333333333333	36.2	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"326"	"H826"	"H13"	NA	20.1333333333333	18	NA	NA	NA	NA	NA	NA	40	38	0	1	65	2.5	4775.22083345649
"327"	"H827"	"H13"	2017-06-19	21.8666666666667	21.2	NA	NA	NA	0	0	NA	55	42	3	42	39	9.5666666667	7257.07902979242
"328"	"H828"	"H13"	2017-06-19	21.9666666666667	21.5	4	141.3333333333	"yes"	4	141.3333333333	35.333333333325	76	66	2	38	109	3.95	15758.2287504064
"329"	"H829"	"H13"	2017-06-12	25.8333333333333	26	32	1192	"yes"	32	1192	37.25	26	25	28	41	37	6	2042.03522483337
"330"	"H83"	"H03"	NA	11.9333333333333	12.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"331"	"H830"	"H13"	2017-06-15	22.2	22.4	14	441	"yes"	14	441	31.5	82	62	7	16	130	6	15971.8570508505
"332"	"H831"	"H13"	NA	24.2	24.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"333"	"H832"	"H13"	NA	23.8333333333333	21.8	NA	NA	NA	NA	NA	NA	29	17	0	1	82	3.5	1548.80517821977
"334"	"H833"	"H13"	2017-07-03	24.7666666666667	22	4	92	"yes"	4	92	23	29	11	1	15	116	7.6	1002.16805649514
"335"	"H834"	"HC1"	2017-07-01	7	7	4	184	"yes"	4	184	46	48	27	1	32	25	12.1	4071.50407905237
"336"	"H835"	"HC1"	2017-07-07	7.2	7.2	2	47	"yes"	2	47	23.5	45	43	1	15	112	7	6078.98178469625
"337"	"H836"	"HC1"	NA	7	7	NA	NA	NA	NA	NA	NA	69	38	0	1	119	6.5	8237.25593771244
"338"	"H837"	"HC1"	2017-06-25	7.6	7.6	43	1781.4285714286	"yes"	43	1781.4285714286	41.4285714285721	26	71	8	12	49	13	5799.38003852676
"339"	"H838"	"HC1"	2017-07-01	7	7	NA	NA	"no"	0	0	NA	31	14	1	15	86	4.4	1363.45121165797
"340"	"H839"	"HC1"	2017-06-25	7.2	7.2	82	3690	"yes"	82	3690	45	28	62	9	17	53	10	5453.80484663188
"341"	"H84"	"H03"	2017-06-27	10.1666666666667	10	NA	NA	"no"	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"342"	"H840"	"HC1"	2017-06-25	7	7	11	456.5	"yes"	11	456.5	41.5	80	42	3	6	26	11.3	10555.7513160617
"343"	"H841"	"HC1"	2017-06-25	7.1	7.1	29	1348.5	"yes"	29	1348.5	46.5	18	22	7	29	50	12	1244.07069082156
"344"	"H842"	"HC1"	2017-06-25	7.1	7.1	21	1008	"yes"	21	1008	48	13	57	2	7	51	18.5	2327.92015631004
"345"	"H843"	"HC1"	2017-06-25	7	7	NA	NA	NA	0	0	NA	64	32	2	38	48	14.3	6433.9817545519
"346"	"H844"	"HC1"	2017-06-25	7	7	67	3363.4	"yes"	67	3363.4	50.2	80	57	6	25	52	14	14325.6625003695
"347"	"H845"	"HC1"	2017-06-25	7	7	34	1436.5	"yes"	34	1436.5	42.25	NA	NA	2	3	68	16.35	NA
"348"	"H846"	"HC1"	2017-06-25	7	7	11	446.6	"yes"	11	446.6	40.6	64	42	2	38	10	9.7	8444.60105284936
"349"	"H847"	"HC1"	2017-06-25	7.4	7.4	26	1209	"yes"	26	1209	46.5	49	45	1	32	10	10	6927.21180116549
"350"	"H848"	"HC1"	2017-06-25	7	7	NA	NA	"no"	0	0	NA	30	27	1	24	127	9	2544.69004940773
"351"	"H849"	"HC1"	NA	7.1	7.1	NA	NA	NA	NA	NA	NA	44	38	0	1	91	5	5252.74291680213
"352"	"H85"	"H03"	NA	11.6666666666667	11.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"353"	"H850"	"HC1"	2017-06-25	7	7	7	289.3333333333	"yes"	7	289.3333333333	41.3333333333286	21	67	4	14	69	15	4420.22086360084
"354"	"H851"	"HC1"	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"355"	"H852"	"HC1"	2017-06-25	7.1	7.1	21	1036	"yes"	21	1036	49.3333333333333	71	51	3	14	45	14.2666666667	11375.7069986486
"356"	"H853"	"HC1"	2017-07-25	7	7	NA	NA	NA	0	0	NA	42	26	2	15	118	5	3430.61917772005
"357"	"H854"	"HC1"	2017-07-07	6.6	6.6	NA	NA	"no"	0	0	NA	64	51	1	2	114	7.2	10254.1584213171
"358"	"H855"	"HC1"	NA	6.3	6.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"359"	"H856"	"HC1"	NA	6.7	6.7	NA	NA	NA	NA	NA	NA	25	24	0	1	17	5	1884.95559215388
"360"	"H857"	"HC1"	2017-06-25	6.6	6.6	NA	NA	NA	0	0	NA	48	32	1	15	97	5.8	4825.48631591392
"361"	"H858"	"HC1"	2017-06-25	6.9	6.9	20	760	"yes"	20	760	38	24	23	13	33	41	8	1734.15914478157
"362"	"H859"	"HC1"	2017-07-01	7.2	7.2	124	4402	"yes"	124	4402	35.5	80	51	2	39	70	24.3	12817.6980266464
"363"	"H86"	"H03"	NA	11.7333333333333	11.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"364"	"H860"	"HC1"	2017-08-05	6.5	6.5	1	NA	"no"	1	NA	NA	27	60	0	1	30	7	5089.38009881546
"365"	"H861"	"HC1"	2017-07-01	7	7	NA	NA	NA	0	0	NA	21	67	2	15	92	5	4420.22086360084
"366"	"H862"	"HC1"	NA	7.5	7.5	NA	NA	NA	NA	NA	NA	71	55	2	32	133	9.1	12267.9193122681
"367"	"H863"	"HC1"	2017-06-25	7.1	7.1	3	84	"yes"	3	84	28	55	27	2	36	104	6.25	4665.26509058084
"368"	"H864"	"HC2a"	2017-06-25	6.6	6.6	2	48	"yes"	2	48	24	55	11	1	24	94	5.5	1900.66355542182
"369"	"H865"	"HC2a"	NA	6.8	6.8	NA	NA	NA	NA	NA	NA	10	17	0	1	8	1.7	534.070751110265
"370"	"H866"	"HC2a"	2017-07-07	7	7	6	207	"yes"	6	207	34.5	44	11	1	32	11	10.1	1520.53084433746
"371"	"H867"	"HC2a"	NA	6.8	6.8	NA	NA	NA	NA	NA	NA	68	39	0	1	101	4.5	8331.50371732013
"372"	"H868"	"HC2a"	NA	7.2	7.2	NA	NA	NA	NA	NA	NA	70	49	0	1	67	2	10775.662801813
"373"	"H869"	"HC2a"	2017-06-25	7	7	NA	NA	"no"	0	0	NA	29	13	1	24	106	6.5	1184.38043040335
"374"	"H87"	"H03"	2017-06-21	11	10.7	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"375"	"H870"	"HC2a"	2017-07-01	7.4	7.4	3	72	"yes"	3	72	24	76	51	2	24	95	5	12176.813125314
"376"	"H871"	"HC2a"	2017-07-01	7	7	6	189	"yes"	6	189	31.5	80	57	3	38	27	10.6	14325.6625003695
"377"	"H872"	"HC2a"	2017-06-25	7.6	7.6	9	288	"yes"	9	288	32	80	62	4	42	131	7	15582.2995618054
"378"	"H873"	"HC2a"	2017-06-25	8	8	4	86.6666666667	"yes"	4	86.6666666667	21.666666666675	71	42	2	38	123	8.5	9368.22929300476
"379"	"H874"	"HC2a"	2017-07-01	6.7	6.7	2	57	"yes"	2	57	28.5	59	42	1	24	128	9.3	7784.86659559551
"380"	"H875"	"HC2a"	2017-07-01	7.3	7.3	3	83	"yes"	3	83	27.6666666666667	64	32	1	24	105	6.4	6433.9817545519
"381"	"H876"	"HC2a"	NA	8.3	8.3	NA	NA	NA	NA	NA	NA	20	61	0	1	90	3	3832.74303737955
"382"	"H877"	"HC2a"	NA	8	8	NA	NA	NA	NA	NA	NA	70	37	0	1	67	2.75	8136.72497279756
"383"	"H878"	"HC2a"	2017-06-25	8	8	25	968.75	"yes"	25	968.75	38.75	80	62	7	31	34	10	15582.2995618054
"384"	"H879"	"HC2a"	2017-07-01	7.8	7.8	12	453	"yes"	12	453	37.75	75	55	4	8	23	8	12959.0696960579
"385"	"H88"	"H03"	2017-06-21	9.73333333333333	9.6	NA	NA	"no"	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"386"	"H880"	"HC2a"	2017-06-25	7.6	7.6	6	108	"yes"	6	108	18	80	51	3	5	22	9.9	12817.6980266464
"387"	"H881"	"HC2a"	2017-06-25	7.8	7.8	14	182	"yes"	14	182	13	55	51	3	6	21	8.5	8812.16739331937
"388"	"H882"	"HC2a"	2017-07-01	7.4	7.4	15	660	"yes"	15	660	44	56	28	2	6	22	9.5	4926.0172808288
"389"	"H883"	"HC2a"	2017-07-01	7.6	7.6	24	908	"yes"	24	908	37.8333333333333	80	62	5	14	13	8	15582.2995618054
"390"	"H884"	"HC2a"	2017-06-25	8.1	8.1	2	27	"yes"	2	27	13.5	29	12	1	24	124	8.7	1093.27424344925
"391"	"H885"	"HC2a"	2017-06-25	7.6	7.6	14	509.6	"yes"	14	509.6	36.4	13	71	6	20	20	8	2899.69001926338
"392"	"H886"	"HC2b"	NA	8	8	NA	NA	NA	NA	NA	NA	38	21	0	1	9	1.8	2506.99093756465
"393"	"H887"	"HC2b"	2017-07-12	6.7	6.7	NA	NA	NA	0	0	NA	12	20	0	1	54	2	753.98223686155
