id,coordX,coordY
H387,"14,55","5,6"
H388,"17,88","6,5"
H389,"18,1","5,45"
H390,"19,1",5
H391,"19,85","4,95"
H392,"20,2","5,8"
H393,"20,9","6,15"
H394,"27,35","4,3"
H395,"27,7","4,1"
H396,"30,3","5,6"
H397,"28,8",0
H398,"3,3","5,6"
H399,"17,9","4,55"
H800,"19,1","5,1"
H801,"2,75","-0,85"
H802,"2,3","-1,05"
H803,"6,55","9,6"
H804,"9,65",6
H805,"19,8","5,2"
H806,"1,3","1,75"
H807,"1,5","1,35"
H808,2,"1,7"
H809,2,"1,05"
H810,"2,7","1,8"
H811,"2,9","1,6"
H812,"2,95","-0,15"
H813,"3,2","0,15"
H814,"3,5","0,35"
H815,"3,7","1,05"
H816,"4,5","0,1"
H817,6,"-0,5"
H818,"7,15","0,55"
H819,"7,15","0,85"
H820,"8,25","0,3"
H821,"9,1","0,35"
H822,"10,35","0,3"
H823,11,"1,3"
H824,12,"1,25"
H825,"12,05","0,85"
H826,"5,55","1,05"
H827,"5,55","2,2"
H828,"6,5","0,45"
H829,12,"1,05"
H830,"10,4","1,2"
H831,"7,75","0,6"
H832,"3,6","1,4"
H833,"2,75","1,35"
H834,"11,8","2,25"
H835,"10,85","7,85"
H836,"10,6","7,4"
H837,"10,25","7,6"
H838,"9,6","6,9"
H839,"8,35","7,6"
H840,"8,1",7
H841,"7,15",6
H842,"7,75","7,2"
H843,"7,4","7,5"
H844,"7,15","6,7"
H845,"7,6","6,95"
H846,"7,4","6,45"
H847,"6,95","7,25"
H848,"7,4","5,8"
H849,"6,6","5,1"
H850,"6,3","5,8"
H851,"4,5",5
H852,5,"6,7"
H853,"4,7","7,4"
H854,"3,45",7
H855,"3,1","7,3"
H856,3,8
H857,"2,2","7,4"
H858,"3,5","5,6"
H859,"3,15","5,3"
H860,"1,3","5,5"
H861,"0,5","6,6"
H862,"0,5","6,8"
H863,"2,35","5,9"
H864,"0,6","2,25"
H865,"0,8","2,5"
H866,"0,9","2,7"
H867,"1,3","2,55"
H868,"2,55","2,5"
H869,"2,9","2,4"
H870,"3,4","2,1"
H871,"2,55","1,9"
H872,"4,5","1,2"
H873,"5,1","2,1"
H874,3,"2,65"
H875,"4,6","0,9"
H876,"6,5","0,7"
H877,"5,55","0,5"
H878,"7,6","1,25"
H879,"8,4","1,2"
H880,"8,85","1,1"
H881,"8,75","0,6"
H882,"8,4","0,3"
H883,"8,95","0,3"
H884,"13,1","2,1"
H885,"13,15","1,2"
H886,"0,4","3,2"
H887,"0,85","3,8"
H888,"10,2","0,6"
H889,"11,35",2
H890,"6,4","3,75"
H891,"6,05","4,4"
H892,"5,1","5,1"
H893,5,"5,1"
H894,"1,25","0,85"
H895,"1,95","1,15"
H896,"0,1","1,7"
H897,"10,4","-0,05"
H898,"0,25","3,95"
H899,"1,15","4,05"
H1100,"1,2","3,25"
H1101,"3,3","2,45"
H1102,"2,3","2,3"
H1103,"2,3","2,2"
H1104,"9,15","2,8"
H1105,"15,3","0,45"
H1106,"15,75","1,15"
H1107,16,"1,1"
H1108,"13,15","8,55"
H1109,"13,3","8,7"
H1110,"13,15","8,9"
H1111,"8,65",9
H1112,8,"8,3"
H1113,"8,05","7,5"
H1114,"7,95","7,5"
H1115,"7,95",7
H1116,"6,8","8,2"
H1117,"6,1","5,5"
H1118,"5,8","8,2"
H1119,"5,3","7,7"
H1120,"2,6","7,4"
H1121,"0,4","5,8"
H1122,"9,5","8,9"
H1123,"12,6","9,1"
H1124,"2,2","1,05"
H1125,3,"1,1"
H1126,"0,15",3
H1127,"1,15","2,65"
H1128,1,"3,8"
H1129,4,"2,6"
H1130,"4,4","1,5"
H1131,"4,7","3,8"
H1132,"6,25","3,95"
H1133,"6,7","3,8"
H1134,"6,75","3,6"
H1135,"7,6","3,2"
H1136,"8,3","1,45"
H1137,"8,7","1,05"
H1138,"9,6","1,1"
H1139,"9,5","1,7"
H1140,"9,3","2,65"
H1141,"8,9","4,2"
H1142,"9,7","3,25"
H1143,"10,2",3
H1144,"10,3","4,3"
H1145,"10,4",6
H1146,"11,3","4,35"
H1147,"11,7","3,6"
H1148,"11,8","4,25"
H1149,"11,6","4,9"
H1150,"12,8",5
H1151,"12,35","0,25"
H1152,"-0,2","4,65"
H1153,"-0,75","4,8"
H1154,"0,9","2,7"
H1155,"0,4","3,9"
H1156,"2,1","4,65"
H1157,"3,1","4,5"
H1158,"4,6","6,35"
H1159,"4,5","7,4"
H1160,"2,8","9,4"
H1161,"5,7",6
H1162,"3,9","2,2"
H1163,"6,7","4,05"
H1164,"8,1","3,5"
H1165,8,"2,5"
H1166,"9,05","1,6"
H1167,"9,25","1,45"
H1168,"9,7","-0,85"
H1169,"10,45","-1,7"
H1170,"11,3","0,5"
H1171,"11,4","4,95"
H1172,"11,6","5,25"
H1173,"11,9","6,9"
