"id"	"FFD"	"mean_temp"	"temp1"	"plot"
"110"	"H316"	NA	12.2666666666667	11.2	"H08"
"111"	"H317"	2017-06-27	13.0666666666667	12	"H08"
"112"	"H318"	NA	13.8666666666667	13	"H08"
"113"	"H319"	2017-07-16	13.7	12.6	"H08"
"114"	"H32"	2017-06-26	19.3666666666667	21.7	"H02"
"115"	"H320"	2017-06-21	14.2	13.6	"H08"
"116"	"H321"	NA	13.2	12.7	"H08"
"117"	"H322"	2017-06-21	15.4	14.9	"H08"
"118"	"H323"	2017-06-21	15.3333333333333	15.5	"H08"
"119"	"H324"	NA	15.8666666666667	16.4	"H08"
"120"	"H325"	NA	16.1	16.8	"H08"
"121"	"H326"	NA	16.6333333333333	17.1	"H08"
"122"	"H327"	NA	17.1666666666667	17	"H08"
"123"	"H328"	NA	17.3333333333333	17.8	"H08"
"124"	"H329"	NA	18.3	18.6	"H08"
"125"	"H33"	2017-07-03	15.0333333333333	17.6	"H02"
"126"	"H330"	NA	17.8666666666667	17.8	"H08"
"127"	"H331"	NA	19.7333333333333	20.3	"H08"
"128"	"H332"	NA	21.0333333333333	21.9	"H08"
"129"	"H333"	2017-06-12	20.5666666666667	21.6	"H08"
"130"	"H334"	2017-07-03	18.9666666666667	20.4	"H08"
"131"	"H335"	2017-06-12	18	18.6	"H08"
"132"	"H336"	2017-06-21	17.4	17.4	"H08"
"133"	"H337"	2017-06-21	18	18.7	"H08"
"134"	"H338"	2017-06-27	20.1	20.9	"H08"
"135"	"H339"	NA	17.8	17.8	"H08"
"136"	"H34"	2017-06-19	14.5333333333333	16.7	"H02"
"137"	"H340"	2017-06-21	18.8666666666667	18.9	"H08"
"138"	"H341"	2017-06-21	17.7	18.1	"H08"
"139"	"H342"	2017-07-07	14.9	15.1	"H08"
"140"	"H343"	NA	13.9333333333333	13	"H08"
"141"	"H344"	2017-06-27	13.4666666666667	12.6	"H08"
"142"	"H345"	2017-06-27	12.4333333333333	11	"H08"
"143"	"H346"	2017-06-27	9.9	9	"H09"
"144"	"H347"	2017-06-27	10.3	9.2	"H09"
"145"	"H348"	NA	10.6	9.2	"H09"
"146"	"H349"	2017-07-07	10.8333333333333	9.2	"H09"
"147"	"H35"	NA	12.3666666666667	13.4	"H02"
"148"	"H350"	2017-07-12	10.8333333333333	9.4	"H09"
"149"	"H351"	NA	10.8333333333333	9.5	"H09"
"150"	"H352"	2017-07-01	10.7666666666667	9.2	"H09"
"151"	"H353"	2017-07-01	10.6666666666667	9	"H09"
"152"	"H354"	2017-06-21	10.6	9.1	"H09"
"153"	"H355"	2017-07-07	10.6	9.4	"H09"
"154"	"H356"	2017-06-27	10.6333333333333	9.1	"H09"
"155"	"H357"	2017-07-01	10.6	9	"H09"
"156"	"H358"	2017-06-27	10.4333333333333	9	"H09"
"157"	"H359"	2017-06-21	10.4333333333333	8.9	"H09"
"158"	"H36"	NA	12.4333333333333	12	"H02"
"159"	"H360"	2017-06-27	10.4	8.7	"H09"
"160"	"H361"	2017-07-07	10.7333333333333	9.2	"H09"
"161"	"H362"	NA	10.8	9.4	"H09"
"162"	"H363"	2017-06-27	10.7333333333333	9.2	"H09"
"163"	"H364"	NA	10.8	9.6	"H09"
"164"	"H365"	2017-06-21	10.4666666666667	9.4	"H09"
"165"	"H366"	2017-06-27	10.5333333333333	9.5	"H09"
"166"	"H367"	NA	10.3666666666667	9.4	"H09"
"167"	"H368"	2017-07-16	10.2333333333333	9.1	"H09"
"168"	"H369"	NA	10.3	8.9	"H09"
"169"	"H37"	2017-06-26	13.9666666666667	14.6	"H02"
"170"	"H370"	2017-06-12	9.5	8.6	"H09"
"171"	"H371"	NA	10	8.8	"H09"
"172"	"H372"	2017-07-07	9.96666666666667	8.8	"H09"
"173"	"H373"	2017-06-27	10.3666666666667	9.1	"H09"
"174"	"H374"	NA	10.4333333333333	9.4	"H09"
"175"	"H375"	NA	10.7333333333333	9.5	"H09"
"176"	"H376"	NA	24.6	25.2	"H10"
"177"	"H377"	NA	22	20.7	"H10"
"178"	"H378"	2017-06-26	24.5333333333333	24.3	"H10"
"179"	"H379"	2017-07-10	19.9333333333333	20	"H10"
"180"	"H38"	2017-06-26	13.8	15.4	"H02"
"181"	"H380"	2017-06-26	19.8666666666667	19.7	"H10"
"182"	"H381"	NA	19.1	19.5	"H10"
"183"	"H382"	NA	17.7333333333333	17.6	"H10"
"184"	"H383"	NA	20.4666666666667	21	"H10"
"185"	"H384"	2017-06-26	21.3333333333333	22.4	"H10"
"186"	"H385"	2017-06-19	24.3	26.6	"H10"
"187"	"H386"	2017-07-16	23.5	23.5	"H10"
"188"	"H387"	2017-06-19	26.8333333333333	25.3	"H10"
"189"	"H388"	NA	25.5	22.3	"H10"
"190"	"H389"	NA	24.4666666666667	22.4	"H10"
"191"	"H39"	2017-07-17	16.8666666666667	18.8	"H02"
"192"	"H390"	2017-06-19	21.8333333333333	21.8	"H10"
"193"	"H391"	2017-06-19	22.7666666666667	20.5	"H10"
"194"	"H392"	2017-06-26	20.7666666666667	18	"H10"
"195"	"H393"	2017-06-19	22.3666666666667	19	"H10"
"196"	"H394"	2017-07-03	12.2666666666667	12	"H10"
"197"	"H395"	NA	12.6	12	"H10"
"198"	"H396"	2017-06-26	10.6333333333333	10.7	"H10"
"199"	"H397"	2017-06-19	11.5	11.3	"H10"
"200"	"H398"	NA	23.5666666666667	24	"H10"
"201"	"H399"	2017-06-19	19.4666666666667	19.9	"H10"
"202"	"H4"	2017-06-21	24.3333333333333	25	"H01"
"203"	"H40"	2017-07-17	21.5333333333333	24.7	"H02"
"204"	"H400"	2017-07-02	17.8666666666667	18	"H04"
"205"	"H401"	2017-06-26	14.6666666666667	15	"H04"
"206"	"H402"	2017-07-02	17.4333333333333	17.8	"H04"
"207"	"H403"	2017-06-26	11.8	11.7	"H04"
"208"	"H404"	2017-06-26	11.3666666666667	11.3	"H04"
"209"	"H405"	2017-06-19	11.6666666666667	11.3	"H04"
"210"	"H406"	NA	14.3333333333333	14.7	"H04"
"211"	"H407"	2017-06-19	15.0666666666667	14.9	"H04"
"212"	"H408"	2017-06-19	11.8666666666667	11.8	"H04"
"213"	"H409"	2017-07-02	11.9666666666667	12	"H04"
"214"	"H41"	2017-07-03	17.6333333333333	18.6	"H02"
"215"	"H410"	2017-07-25	23.8	27.9	"H04"
"216"	"H411"	2017-07-16	20.8	24.5	"H04"
"217"	"H412"	2017-07-22	22.6333333333333	28.6	"H04"
"218"	"H413"	NA	23.7333333333333	27.4	"H04"
"219"	"H414"	2017-07-02	19.3	21.9	"H04"
"220"	"H415"	NA	29.7	26	"H04"
"221"	"H416"	2017-06-19	33.9333333333333	39	"H04"
"222"	"H417"	NA	41.5333333333333	43.4	"H04"
"223"	"H418"	2017-06-26	41.7333333333333	45.5	"H04"
"224"	"H419"	NA	24.2666666666667	24.9	"H04"
"225"	"H42"	NA	21.8	24.6	"H02"
"226"	"H420"	2017-06-26	25.0333333333333	27	"H05"
"227"	"H421"	2017-06-15	23.1333333333333	25	"H05"
"228"	"H422"	2017-06-15	23.4666666666667	25.9	"H05"
"229"	"H423"	2017-06-15	24.7333333333333	32.3	"H05"
"230"	"H424"	2017-06-15	21.6	21.6	"H05"
"231"	"H425"	2017-06-18	20.7	21.6	"H05"
"232"	"H426"	2017-07-25	21.2666666666667	21.2	"H05"
"233"	"H427"	2017-06-26	20.3333333333333	20.4	"H05"
"234"	"H428"	NA	20.1333333333333	20.8	"H05"
"235"	"H429"	2017-06-22	19.8333333333333	21.6	"H05"
"236"	"H43"	NA	15.7333333333333	16	"H02"
"237"	"H430"	2017-06-29	19.8666666666667	20.6	"H05"
"238"	"H431"	2017-07-18	20.4	21.1	"H05"
"239"	"H432"	2017-07-02	19.7666666666667	23.4	"H05"
"240"	"H433"	2017-06-26	21.6666666666667	22.7	"H05"
"241"	"H434"	2017-07-09	20.9333333333333	21.4	"H05"
"242"	"H435"	2017-06-26	22.0333333333333	23.7	"H05"
"243"	"H436"	NA	21.3666666666667	23.3	"H05"
"244"	"H437"	2017-07-02	24.3333333333333	26.5	"H05"
"245"	"H438"	2017-07-02	18.9	19.3	"H05"
"246"	"H439"	2017-07-09	20.7	20.6	"H05"
"247"	"H44"	NA	12.65	10.7	"H02"
"248"	"H440"	2017-06-26	17.9	19.5	"H05"
"249"	"H441"	2017-06-26	20.5	22	"H05"
"250"	"H442"	2017-07-02	20.5333333333333	21.4	"H05"
"251"	"H443"	2017-06-26	20.7	23.6	"H05"
"252"	"H444"	2017-07-09	21.4	24.1	"H05"
"253"	"H445"	NA	20.9	21.5	"H05"
"254"	"H446"	2017-06-26	20	21	"H05"
"255"	"H447"	2017-07-13	20.2333333333333	22	"H05"
"256"	"H448"	2017-06-26	20.2333333333333	21.2	"H05"
"257"	"H449"	2017-06-15	21.0333333333333	21.2	"H05"
"258"	"H45"	2017-07-10	11.9333333333333	11	"H02"
"259"	"H46"	NA	13.3333333333333	13.4	"H02"
"260"	"H47"	2017-07-03	12.7333333333333	12.6	"H02"
"261"	"H48"	2017-06-26	14.3666666666667	16.3	"H02"
"262"	"H49"	2017-06-12	14.1	16.4	"H02"
"263"	"H5"	2017-06-12	29	31	"H01"
"264"	"H50"	2017-06-26	15.1333333333333	17.7	"H02"
"265"	"H51"	NA	16.8666666666667	20.7	"H02"
"266"	"H52"	2017-06-30	16.4	20.5	"H02"
"267"	"H53"	2017-07-31	16.0666666666667	19.6	"H02"
"268"	"H54"	2017-07-03	14	15.8	"H02"
"269"	"H55"	2017-06-26	18.7	20.9	"H02"
"270"	"H56"	2017-06-26	18.9666666666667	22.6	"H02"
"271"	"H57"	2017-06-26	21.5666666666667	24.7	"H02"
"272"	"H58"	NA	15.4333333333333	15.7	"H02"
"273"	"H59"	NA	11.7666666666667	10.8	"H02"
"274"	"H6"	2017-06-27	27.3666666666667	28	"H01"
"275"	"H60"	2017-07-10	13.3666666666667	12.8	"H02"
"276"	"H61"	2017-06-21	10.3333333333333	10.1	"H03"
"277"	"H62"	2017-06-21	10.5333333333333	10.4	"H03"
"278"	"H63"	2017-07-03	11.0666666666667	11	"H03"
"279"	"H64"	NA	11.6	11.3	"H03"
"280"	"H65"	2017-06-27	12.0666666666667	12.2	"H03"
"281"	"H66"	NA	11.8333333333333	11.4	"H03"
"282"	"H67"	2017-07-03	11.6	11.1	"H03"
"283"	"H68"	2017-06-21	10.4333333333333	10.1	"H03"
"284"	"H69"	2017-06-27	11.3	11	"H03"
"285"	"H7"	2017-06-21	29.1666666666667	29.4	"H01"
"286"	"H70"	2017-06-21	10.7666666666667	10.4	"H03"
"287"	"H71"	2017-06-21	10.4333333333333	10	"H03"
"288"	"H72"	2017-06-21	10.9666666666667	10.7	"H03"
"289"	"H73"	2017-07-03	11.0666666666667	11	"H03"
"290"	"H74"	2017-06-27	10.5	10.6	"H03"
"291"	"H75"	2017-06-21	11.8666666666667	12.3	"H03"
"292"	"H76"	2017-07-13	11.9	12.1	"H03"
"293"	"H77"	NA	12.0333333333333	12.4	"H03"
"294"	"H78"	2017-06-21	9.53333333333333	9.4	"H03"
"295"	"H79"	2017-06-12	9.43333333333333	9.1	"H03"
"296"	"H8"	2017-06-21	27.3	29	"H01"
"297"	"H80"	2017-06-27	9.26666666666667	9.1	"H03"
"298"	"H800"	2017-06-26	22.0666666666667	21.6	"H10"
"299"	"H801"	NA	19.2666666666667	19.4	"H10"
"300"	"H802"	2017-06-19	18.3333333333333	16.6	"H10"
"301"	"H803"	NA	20.1333333333333	20	"H10"
"302"	"H804"	2017-06-30	20.7333333333333	20.2	"H10"
"303"	"H805"	NA	22.7	20.4	"H10"
"304"	"H806"	2017-07-03	20.1	19.3	"H13"
"305"	"H807"	2017-07-03	22.0333333333333	20.7	"H13"
"306"	"H808"	NA	21.1666666666667	19	"H13"
"307"	"H809"	2017-06-26	23.9	21.8	"H13"
"308"	"H81"	2017-06-27	9.26666666666667	9.2	"H03"
"309"	"H810"	2017-06-22	23.3333333333333	20.3	"H13"
"310"	"H811"	2017-06-26	24.5666666666667	22.6	"H13"
"311"	"H812"	2017-06-30	26.4333333333333	28	"H13"
"312"	"H813"	2017-06-26	25.5666666666667	23.7	"H13"
"313"	"H814"	2017-07-03	25.1	23.1	"H13"
"314"	"H815"	2017-06-15	25.5333333333333	23.6	"H13"
"315"	"H816"	2017-06-15	21.7666666666667	19.9	"H13"
"316"	"H817"	2017-06-19	23.5333333333333	23.7	"H13"
"317"	"H818"	2017-06-15	21.5	21	"H13"
"318"	"H819"	2017-06-05	22.5333333333333	23	"H13"
"319"	"H82"	2017-06-21	12	12	"H03"
"320"	"H820"	2017-06-12	23.8666666666667	23	"H13"
"321"	"H821"	2017-06-26	22.2	22.4	"H13"
"322"	"H822"	2017-06-12	25.2666666666667	25.7	"H13"
"323"	"H823"	2017-06-22	24.3333333333333	24.8	"H13"
"324"	"H824"	2017-06-26	28.2333333333333	25.7	"H13"
"325"	"H825"	2017-07-03	36.4333333333333	36.2	"H13"
"326"	"H826"	NA	20.1333333333333	18	"H13"
"327"	"H827"	2017-06-19	21.8666666666667	21.2	"H13"
"328"	"H828"	2017-06-19	21.9666666666667	21.5	"H13"
"329"	"H829"	2017-06-12	25.8333333333333	26	"H13"
"330"	"H83"	NA	11.9333333333333	12.1	"H03"
"331"	"H830"	2017-06-15	22.2	22.4	"H13"
"332"	"H831"	NA	24.2	24.2	"H13"
"333"	"H832"	NA	23.8333333333333	21.8	"H13"
"334"	"H833"	2017-07-03	24.7666666666667	22	"H13"
"335"	"H834"	2017-07-01	7	7	"HC1"
"336"	"H835"	2017-07-07	7.2	7.2	"HC1"
"337"	"H836"	NA	7	7	"HC1"
"338"	"H837"	2017-06-25	7.6	7.6	"HC1"
"339"	"H838"	2017-07-01	7	7	"HC1"
"340"	"H839"	2017-06-25	7.2	7.2	"HC1"
"341"	"H84"	2017-06-27	10.1666666666667	10	"H03"
"342"	"H840"	2017-06-25	7	7	"HC1"
"343"	"H841"	2017-06-25	7.1	7.1	"HC1"
"344"	"H842"	2017-06-25	7.1	7.1	"HC1"
"345"	"H843"	2017-06-25	7	7	"HC1"
"346"	"H844"	2017-06-25	7	7	"HC1"
"347"	"H845"	2017-06-25	7	7	"HC1"
"348"	"H846"	2017-06-25	7	7	"HC1"
"349"	"H847"	2017-06-25	7.4	7.4	"HC1"
"350"	"H848"	2017-06-25	7	7	"HC1"
"351"	"H849"	NA	7.1	7.1	"HC1"
"352"	"H85"	NA	11.6666666666667	11.4	"H03"
"353"	"H850"	2017-06-25	7	7	"HC1"
"354"	"H851"	NA	7	7	"HC1"
"355"	"H852"	2017-06-25	7.1	7.1	"HC1"
"356"	"H853"	2017-07-25	7	7	"HC1"
"357"	"H854"	2017-07-07	6.6	6.6	"HC1"
"358"	"H855"	NA	6.3	6.3	"HC1"
"359"	"H856"	NA	6.7	6.7	"HC1"
"360"	"H857"	2017-06-25	6.6	6.6	"HC1"
"361"	"H858"	2017-06-25	6.9	6.9	"HC1"
"362"	"H859"	2017-07-01	7.2	7.2	"HC1"
"363"	"H86"	NA	11.7333333333333	11.9	"H03"
"364"	"H860"	2017-08-05	6.5	6.5	"HC1"
"365"	"H861"	2017-07-01	7	7	"HC1"
"366"	"H862"	NA	7.5	7.5	"HC1"
"367"	"H863"	2017-06-25	7.1	7.1	"HC1"
"368"	"H864"	2017-06-25	6.6	6.6	"HC2a"
"369"	"H865"	NA	6.8	6.8	"HC2a"
"370"	"H866"	2017-07-07	7	7	"HC2a"
"371"	"H867"	NA	6.8	6.8	"HC2a"
"372"	"H868"	NA	7.2	7.2	"HC2a"
"373"	"H869"	2017-06-25	7	7	"HC2a"
"374"	"H87"	2017-06-21	11	10.7	"H03"
"375"	"H870"	2017-07-01	7.4	7.4	"HC2a"
"376"	"H871"	2017-07-01	7	7	"HC2a"
"377"	"H872"	2017-06-25	7.6	7.6	"HC2a"
"378"	"H873"	2017-06-25	8	8	"HC2a"
"379"	"H874"	2017-07-01	6.7	6.7	"HC2a"
"380"	"H875"	2017-07-01	7.3	7.3	"HC2a"
"381"	"H876"	NA	8.3	8.3	"HC2a"
"382"	"H877"	NA	8	8	"HC2a"
"383"	"H878"	2017-06-25	8	8	"HC2a"
"384"	"H879"	2017-07-01	7.8	7.8	"HC2a"
"385"	"H88"	2017-06-21	9.73333333333333	9.6	"H03"
"386"	"H880"	2017-06-25	7.6	7.6	"HC2a"
"387"	"H881"	2017-06-25	7.8	7.8	"HC2a"
"388"	"H882"	2017-07-01	7.4	7.4	"HC2a"
"389"	"H883"	2017-07-01	7.6	7.6	"HC2a"
"390"	"H884"	2017-06-25	8.1	8.1	"HC2a"
"391"	"H885"	2017-06-25	7.6	7.6	"HC2a"
"392"	"H886"	NA	8	8	"HC2b"
"393"	"H887"	2017-07-12	6.7	6.7	"HC2b"
"394"	"H888"	NA	9.8	9.8	"HC2b"
"395"	"H889"	2017-06-25	9.2	9.2	"HC2b"
"396"	"H89"	2017-06-12	9.93333333333333	9.9	"H03"
"397"	"H890"	NA	9	9	"HC2b"
"398"	"H891"	2017-07-01	9	9	"HC2b"
"399"	"H892"	2017-06-25	8.6	8.6	"HC2b"
"400"	"H893"	NA	8.7	8.7	"HC2b"
"401"	"H894"	2017-06-25	6.5	6.5	"HC4"
"402"	"H895"	2017-07-01	6.3	6.3	"HC4"
"403"	"H896"	2017-06-25	4.1	4.1	"HC4"
"404"	"H897"	NA	5.8	5.8	"HC4"
"405"	"H898"	2017-07-01	5.7	5.7	"HC4"
"406"	"H899"	2017-07-04	5.2	5.2	"HC4"
"407"	"H9"	NA	27.5	28.4	"H01"
"408"	"H90"	2017-06-21	9.63333333333333	9.5	"H03"
"409"	"H91"	2017-06-19	30.9333333333333	31.4	"H04"
"410"	"H92"	2017-07-02	37.3666666666667	44	"H04"
"411"	"H93"	2017-06-26	33.9333333333333	38	"H04"
"412"	"H94"	NA	21.2666666666667	25.5	"H04"
"413"	"H95"	NA	23.4666666666667	27.9	"H04"
"414"	"H96"	2017-06-26	16.6	17	"H04"
"415"	"H97"	NA	20	20.3	"H04"
"416"	"H98"	NA	20.3666666666667	21.1	"H04"
"417"	"H99"	2017-06-26	19.1	20.6	"H04"
