record	id	plot	x	y	peak	comments	date	temp	stage
2	H14	H01					02/06/2017	24	B3
2	H15	H01					02/06/2017	26,6	B1
2	H16	H01					02/06/2017	21,6	B2
2	H17	H01					02/06/2017	21,2	B2
2	H18	H01					02/06/2017	21	VL
2	H19	H01					02/06/2017	18,7	B2
2	H20	H01					02/06/2017	16	B3
2	H21	H01					02/06/2017	16,6	B3
2	H22	H01					02/06/2017	16	B1
2	H23	H01					02/06/2017	16	B1
2	H24	H01					02/06/2017	15,5	B2
2	H25	H01					02/06/2017	18,9	B2
2	H26	H01					02/06/2017	27	B3
2	H27	H01					02/06/2017	26,7	B2
2	H28	H01					02/06/2017	24,4	B2
2	H29	H01					02/06/2017	14	B2
2	H30	H01					02/06/2017	13,5	B1
2	H31	H02					02/06/2017	16,9	B2
2	H32	H02					02/06/2017	18	B3
2	H33	H02					02/06/2017	14,7	B1
2	H34	H02					02/06/2017	12,9	B1
2	H35	H02					02/06/2017	11,8	B1
2	H36	H02					02/06/2017	12,7	B1
2	H37	H02					02/06/2017	13,7	B2
2	H38	H02					02/06/2017	12	B2
2	H39	H02					02/06/2017	17,2	VL
2	H40	H02					02/06/2017	17,1	VL
2	H41	H02					02/06/2017	17,4	VL
2	H42	H02					02/06/2017	16,9	B1
2	H43	H02					02/06/2017	17	B1
2	H44	H02					02/06/2017	14,6	VL
2	H45	H02					02/06/2017	14,3	VL
2	H46	H02					02/06/2017	14,1	B1
2	H47	H02					02/06/2017	13,6	B1
2	H48	H02					02/06/2017	12,9	B1
2	H49	H02					02/06/2017	11,7	B3
2	H50	H02					02/06/2017	14	VL
2	H51	H02					02/06/2017	13,3	B1
2	H52	H02					02/06/2017	12,7	B1
2	H53	H02					02/06/2017	12,2	B1
2	H54	H02					02/06/2017	12,5	B1
2	H55	H02					02/06/2017	17	B1
2	H56	H02					02/06/2017	14,8	VL
2	H57	H02					02/06/2017	17,1	VL
2	H58	H02					02/06/2017	17	B1
2	H59	H02					02/06/2017	14,6	VL
2	H60	H02					02/06/2017	16	B1
2	H61	H03					02/06/2017	10,3	B3
2	H62	H03					02/06/2017	10,7	B1
2	H63	H03					02/06/2017	11,3	VL
2	H64	H03					02/06/2017	12	B1
2	H65	H03					02/06/2017	12	B1
2	H66	H03					02/06/2017	12	VL
2	H67	H03					02/06/2017	11,9	B1
2	H68	H03					02/06/2017	11,3	B1
2	H69	H03					02/06/2017	11,4	B2
2	H70	H03					02/06/2017	11	B3
2	H71	H03					02/06/2017	10,7	B1
2	H72	H03					02/06/2017	11,2	B2
2	H73	H03					02/06/2017	11	B1
2	H74	H03					02/06/2017	10,9	B1
2	H75	H03					02/06/2017	11,7	B1
2	H76	H03					02/06/2017	12	B1
2	H77	H03					02/06/2017	12	VL
2	H78	H03					02/06/2017	9,9	B2
2	H79	H03					02/06/2017	10	B3
2	H80	H03					02/06/2017	9,7	B1
2	H81	H03					02/06/2017	9,6	B1
2	H82	H03					02/06/2017	11,9	B3
2	H83	H03					02/06/2017	11,8	B1
2	H84	H03					02/06/2017	10,6	B1
2	H85	H03					02/06/2017	12	VL
2	H86	H03					02/06/2017	11,9	B1
2	H87	H03					02/06/2017	11,3	B2
2	H88	H03					02/06/2017	10	B3
2	H89	H03					02/06/2017	10,2	B2
2	H90	H03					02/06/2017	10	B2
2	H91	H04					02/06/2017	29,9	B4
2	H92	H04					02/06/2017	31,3	VL
2	H93	H04					02/06/2017	29	B1
2	H94	H04					02/06/2017	15,7	VL
2	H95	H04					02/06/2017	16,6	VL
2	H96	H04					02/06/2017	15,8	B1
2	H97	H04					02/06/2017	20,4	VL
2	H98	H04					02/06/2017	19	VS
2	H99	H04					02/06/2017	16,7	B1
2	H400	H04					02/06/2017	16,4	B2
2	H401	H04					02/06/2017	14,4	B2
2	H402	H04					02/06/2017	16,5	B1
2	H403	H04					02/06/2017	11,7	B2
2	H404	H04					02/06/2017	11,6	VL
2	H405	H04					02/06/2017	11,7	B2
2	H406	H04					02/06/2017	13,4	VL
2	H407	H04					02/06/2017	13,7	B1
2	H408	H04					02/06/2017	11,8	B2
2	H409	H04					02/06/2017	11,9	B1
2	H410	H04					02/06/2017	17,6	B1
2	H411	H04					02/06/2017	15,9	VL
2	H412	H04					02/06/2017	19	VL
2	H413	H04					02/06/2017	19,8	VL
2	H414	H04					02/06/2017	15,6	VL
2	H415	H04					02/06/2017	30,4	VS
2	H416	H04					02/06/2017	29,2	B1
2	H417	H04					02/06/2017	37,5	VL
2	H418	H04					02/06/2017	32,4	B1
2	H419	H04					02/06/2017	22	VL
2	H420	H05					02/06/2017	23,2	VL
2	H421	H05					02/06/2017	21,6	B3
2	H422	H05					02/06/2017	21,6	B4
2	H423	H05					02/06/2017	21,3	B3
2	H424	H05					02/06/2017	21,2	B3
2	H425	H05					02/06/2017	20,8	B4
2	H426	H05					02/06/2017	21	VL
2	H427	H05					02/06/2017	19,7	B1
2	H428	H05					02/06/2017	19,7	VL
2	H429	H05					02/06/2017	18,9	B4
2	H430	H05					02/06/2017	19,7	VL
2	H431	H05					02/06/2017	19,4	VS
2	H432	H05					02/06/2017	22	B1
2	H433	H05					02/06/2017	20,4	B2
2	H434	H05					02/06/2017	20,4	VL
2	H435	H05					02/06/2017	19,4	B3
2	H436	H05					02/06/2017	19,2	VL
2	H437	H05					02/06/2017	22,5	VL
2	H438	H05					02/06/2017	17,7	VL
2	H439	H05					02/06/2017	19	VL
2	H440	H05					02/06/2017	17,2	B3
2	H441	H05					02/06/2017	17,8	VL
2	H442	H05					02/06/2017	17,6	VL
2	H443	H05					02/06/2017	19	B3
2	H444	H05					02/06/2017	18,3	B2
2	H445	H05					02/06/2017	19,8	VL
2	H446	H05					02/06/2017	17,6	B1
2	H447	H05					02/06/2017	17	B1
2	H448	H05					02/06/2017	20,5	B2
2	H449	H05					02/06/2017	20,9	B3
2	H316	H08					02/06/2017	12,6	B1
2	H317	H08					02/06/2017	13,7	B1
2	H318	H08					02/06/2017	14	VS
2	H319	H08					02/06/2017	13,8	VL
2	H320	H08					02/06/2017	14,0	B2
2	H321	H08					02/06/2017	13,2	B1
2	H322	H08					02/06/2017	15,3	VS
2	H323	H08					02/06/2017	14,5	B1
2	H324	H08					02/06/2017	15	VS
2	H325	H08					02/06/2017	15,5	VS
2	H326	H08					02/06/2017	15,6	VS
2	H327	H08					02/06/2017	16,5	VS
2	H328	H08					02/06/2017	16,6	VL
2	H329	H08					02/06/2017	17	VL
2	H330	H08					02/06/2017	16,6	VL
2	H331	H08					02/06/2017	18	VL
2	H332	H08					02/06/2017	19,2	B1
2	H333	H08					02/06/2017	18,6	B3
2	H334	H08					02/06/2017	17	VL
2	H335	H08					02/06/2017	16,4	B2
2	H336	H08					02/06/2017	16,2	B1
2	H337	H08					02/06/2017	16,6	B1
2	H338	H08					02/06/2017	18,4	B1
2	H339	H08					02/06/2017	17	VL
2	H340	H08					02/06/2017	17,6	B2
2	H341	H08					02/06/2017	16,4	B2
2	H342	H08					02/06/2017	14,6	B1
2	H343	H08					02/06/2017	14,2	VL
2	H344	H08					02/06/2017	13,8	B1
2	H345	H08					02/06/2017	13	B1
2	H346	H09					02/06/2017	10,7	VS
2	H347	H09					02/06/2017	10,7	VS
2	H348	H09					02/06/2017	11	VL
2	H349	H09					02/06/2017	11,3	B1
2	H350	H09					02/06/2017	11,1	VL
2	H351	H09					02/06/2017	11	B1
2	H352	H09					02/06/2017	11,1	B1
2	H353	H09					02/06/2017	11	VL
2	H354	H09					02/06/2017	11	B1
2	H355	H09					02/06/2017	10,8	VL
2	H356	H09					02/06/2017	11	B1
2	H357	H09					02/06/2017	11	VL
2	H358	H09					02/06/2017	10,6	VL
2	H359	H09					02/06/2017	10,9	B2
2	H360	H09					02/06/2017	10,7	B1
2	H361	H09					02/06/2017	10,8	VL
2	H362	H09					02/06/2017	11	VL
2	H363	H09					02/06/2017	11	B1
2	H364	H09					02/06/2017	11,2	VS
2	H365	H09					02/06/2017	11	B1
2	H366	H09					02/06/2017	11,1	B1
2	H367	H09					02/06/2017	11	VS
2	H368	H09					02/06/2017	11	VS
2	H369	H09					02/06/2017	11	B1
2	H370	H09					02/06/2017	9,9	B2
2	H371	H09					02/06/2017	10,6	VS
2	H372	H09					02/06/2017	10,7	VS
2	H373	H09					02/06/2017	11	VL
2	H374	H09					02/06/2017	11,1	VS
2	H375	H09					02/06/2017	11,1	VL
2	H376	H10					02/06/2017	23,6	B3
2	H377	H10					02/06/2017	22,7	VL
2	H378	H10					02/06/2017	25,4	B2
2	H379	H10					02/06/2017	20	VL
2	H380	H10					02/06/2017	19,6	VL
2	H381	H10					02/06/2017	19,9	VL
2	H382	H10					02/06/2017	18,7	VL
2	H383	H10					02/06/2017	21,3	VL
2	H384	H10					02/06/2017	22,6	B2
2	H385	H10					02/06/2017	24,4	B2
2	H386	H10					02/06/2017	25	VL
2	H387	H10					02/06/2017	28	B4
2	H388	H10					02/06/2017	31	VL
2	H389	H10					02/06/2017	29,3	VL
2	H390	H10					02/06/2017	25,7	B2
2	H391	H10					02/06/2017	24,9	B3
2	H392	H10					02/06/2017	24,6	B2
2	H393	H10					02/06/2017	27,4	B2
2	H394	H10					02/06/2017	12,8	B1
2	H395	H10					02/06/2017	13	VL
2	H396	H10					02/06/2017	11,2	B1
2	H397	H10					02/06/2017	12,6	B1
2	H398	H10					02/06/2017	25	VL
2	H399	H10					02/06/2017	20,9	B4
2	H800	H10					02/06/2017	26,6	B1
2	H801	H10					02/06/2017	19,4	VL
2	H802	H10					02/06/2017	19,6	B1
2	H803	H10					02/06/2017	22	VL
2	H804	H10					02/06/2017	22	B3
2	H805	H10					02/06/2017	25	VS
2	H806	H13					02/06/2017	19	B3
2	H807	H13					02/06/2017	22,7	B2
2	H808	H13					02/06/2017	21,2	B1
2	H809	H13					02/06/2017	24,9	VL
2	H810	H13					02/06/2017	24	B3
2	H811	H13					02/06/2017	24,6	B3
2	H812	H13					02/06/2017	21,2	B1
2	H813	H13					02/06/2017	27,4	B1
2	H814	H13					02/06/2017	27,6	B1
2	H815	H13					02/06/2017	26	B4
2	H816	H13					02/06/2017	22	B3
2	H817	H13					02/06/2017	23	B3
2	H818	H13					02/06/2017	20,4	B4
2	H819	H13					02/06/2017	21	B3
2	H820	H13					02/06/2017	23,6	B4
2	H821	H13					02/06/2017	21,8	VL
2	H822	H13					02/06/2017	24,2	B3
2	H823	H13					02/06/2017	22,8	B4
2	H824	H13					02/06/2017	31,6	B1
2	H825	H13					02/06/2017	39,7	B3
2	H826	H13					02/06/2017	19,7	VL
2	H827	H13					02/06/2017	22,4	B3
2	H828	H13					02/06/2017	20,4	B4
2	H829	H13					02/06/2017	26	B3
2	H830	H13					02/06/2017	20,5	B3
2	H831	H13					02/06/2017	23,1	VS
2	H832	H13					02/06/2017	24,1	VL
2	H833	H13					02/06/2017	25	B1
2	H834	HC1					22/06/2017		B2
2	H835	HC1					22/06/2017		B1
2	H836	HC1					22/06/2017		VS
2	H837	HC1					22/06/2017		B3
2	H838	HC1					22/06/2017		VL
2	H839	HC1					22/06/2017		B4
2	H840	HC1					22/06/2017		B3
2	H841	HC1					22/06/2017		B3
2	H842	HC1					22/06/2017		B3
2	H843	HC1					22/06/2017		B4
2	H844	HC1					22/06/2017		B2
2	H845	HC1					22/06/2017		B3
2	H846	HC1					22/06/2017		B3
2	H847	HC1					22/06/2017		B3
2	H848	HC1					22/06/2017		B3
2	H849	HC1					22/06/2017		VS
2	H850	HC1					22/06/2017		B3
2	H851	HC1					22/06/2017		B2
2	H852	HC1					22/06/2017		B3
2	H853	HC1					22/06/2017		VL
2	H854	HC1					22/06/2017		VL
2	H855	HC1					22/06/2017		B1
2	H856	HC1					22/06/2017		VL
2	H857	HC1					22/06/2017		B2
2	H858	HC1					22/06/2017		B1
2	H859	HC1					22/06/2017		B2
2	H860	HC1					22/06/2017		VL
2	H861	HC1					22/06/2017		VL
2	H862	HC1					22/06/2017		B1
2	H863	HC1					22/06/2017		B2
2	H864	HC2a					22/06/2017		VS
2	H865	HC2a					22/06/2017		VS
2	H866	HC2a					22/06/2017		VS
2	H867	HC2a					22/06/2017		VL
2	H868	HC2a					22/06/2017		B4
2	H869	HC2a					22/06/2017		VL
2	H870	HC2a					22/06/2017		B2
2	H871	HC2a					22/06/2017		B4
2	H872	HC2a					22/06/2017		B3
2	H873	HC2a					22/06/2017		B4
2	H874	HC2a					22/06/2017		B2
2	H875	HC2a					22/06/2017		VL
2	H876	HC2a					22/06/2017		VS
2	H877	HC2a					22/06/2017		B4
2	H878	HC2a					22/06/2017		B3
2	H879	HC2a					22/06/2017		B3
2	H880	HC2a					22/06/2017		B2
2	H881	HC2a					22/06/2017		B3
2	H882	HC2a					22/06/2017		B2
2	H883	HC2a					22/06/2017		B2
2	H884	HC2a					22/06/2017		B3
2	H885	HC2a					22/06/2017		VS
2	H886	HC2b					22/06/2017		VS
2	H887	HC2b					22/06/2017		FL
2	H888	HC2b					22/06/2017		B4
2	H889	HC2b					22/06/2017		VS
2	H890	HC2b					22/06/2017		B2
2	H891	HC2b					22/06/2017		B2
2	H892	HC2b					22/06/2017		VL
2	H893	HC2b					22/06/2017		SG
2	H894	HC4					22/06/2017		B1
2	H895	HC4					22/06/2017		VL
2	H896	HC4					22/06/2017		VL
2	H897	HC4					22/06/2017		VS
2	H898	HC4					22/06/2017		VS
2	H899	HC4					22/06/2017		VS
2	H1100	HC4					22/06/2017		B4
2	H1101	HC4					22/06/2017		VS
2	H1102	HC4					22/06/2017		B2
2	H1103	HC4					22/06/2017		B3
2	H1104	HC4					22/06/2017		B2
2	H1105	HC4					22/06/2017		VS
2	H1106	HC4					22/06/2017		VS
2	H1107	HC4					22/06/2017		B2
2	H1108	HC4					22/06/2017		B1
2	H1109	HC4					22/06/2017		VS
2	H1110	HC4					22/06/2017		B2
2	H1111	HC4					22/06/2017		VS
2	H1112	HC4					22/06/2017		B2
2	H1113	HC4					22/06/2017		VS
2	H1114	HC4					22/06/2017		FL
2	H1115	HC4					22/06/2017		VS
2	H1116	HC4					22/06/2017		B2
2	H1117	HC4					22/06/2017		B2
2	H1118	HC4					22/06/2017		VS
2	H1119	HC4					22/06/2017		FL
2	H1120	HC4					22/06/2017		B2
2	H1121	HC4					22/06/2017		B2
2	H1122	HC4					22/06/2017		VL
2	H1123	HC4					22/06/2017		B4
2	H1124	HC5					22/06/2017		B1
2	H1125	HC5					22/06/2017		VL
2	H1126	HC5					22/06/2017		VL
2	H1127	HC5					22/06/2017		VS
2	H1128	HC5					22/06/2017		VS
2	H1129	HC5					22/06/2017		VS
2	H1130	HC5					22/06/2017		B4
2	H1131	HC5					22/06/2017		VS
2	H1132	HC5					22/06/2017		B2
2	H1133	HC5					22/06/2017		B3
2	H1134	HC5					22/06/2017		B2
2	H1135	HC5					22/06/2017		VS
2	H1136	HC5					22/06/2017		VS
2	H1137	HC5					22/06/2017		B2
2	H1138	HC5					22/06/2017		B1
2	H1139	HC5					22/06/2017		VS
2	H1140	HC5					22/06/2017		B2
2	H1141	HC5					22/06/2017		VS
2	H1142	HC5					22/06/2017		B2
2	H1143	HC5					22/06/2017		VS
2	H1144	HC5					22/06/2017		FL
2	H1145	HC5					22/06/2017		VS
2	H1146	HC5					22/06/2017		B2
2	H1147	HC5					22/06/2017		B2
2	H1148	HC5					22/06/2017		VS
2	H1149	HC5					22/06/2017		FL
2	H1150	HC5					22/06/2017		B2
2	H1151	HC5					22/06/2017		B2
2	H1152	HC5					22/06/2017		VL
2	H1153	HC5					22/06/2017		B4
2	H1154	HC6					22/06/2017		B4
2	H1155	HC6					22/06/2017		FL
2	H1156	HC6					22/06/2017		B4
2	H1157	HC6					22/06/2017		VS
2	H1158	HC6					22/06/2017		B4
2	H1159	HC6					22/06/2017		X
2	H1160	HC6					22/06/2017		VS
2	H1161	HC6					22/06/2017		VS
2	H1162	HC6					22/06/2017		B3
2	H1163	HC6					22/06/2017		X
2	H1164	HC6					22/06/2017		VS
2	H1165	HC6					22/06/2017		VS
2	H1166	HC6					22/06/2017		VS
2	H1167	HC6					22/06/2017		X
2	H1168	HC6					22/06/2017		B2
2	H1169	HC6					22/06/2017		B2
2	H1170	HC6					22/06/2017		B2
2	H1171	HC6					22/06/2017		B4
2	H1172	HC6					22/06/2017		B3
2	H1173	HC6					22/06/2017		B4
2	H1174	HC6					22/06/2017		X
2	H1175	HC6					22/06/2017		X
2	H1176	HC6					22/06/2017		VS
2	H1177	HC6					22/06/2017		B2
2	H1178	HC6					22/06/2017		B1
2	H1179	HC6					22/06/2017		VS
2	H1180	HC6					22/06/2017		VS
2	H1181	HC6					22/06/2017		VS
2	H1182	HC6					22/06/2017		B2
2	H1183	HC6					22/06/2017		B1
3	H1	H01					09/06/2017	21,7	B3
3	H2	H01					09/06/2017	24,9	B1
3	H3	H01					09/06/2017	36,8	B1
3	H4	H01					09/06/2017	28,3	B4
3	H5	H01					09/06/2017	30	B4
3	H6	H01					09/06/2017	31	B4
3	H7	H01					09/06/2017	30,3	B2
3	H8	H01					09/06/2017	29,9	VS
3	H9	H01					09/06/2017	31,1	VS
3	H10	H01					09/06/2017	24,7	VL
3	H11	H01					09/06/2017	24,7	VS
3	H12	H01					09/06/2017	23,6	B2
3	H13	H01					09/06/2017	24,4	B3
3	H14	H01					09/06/2017	30	B3
3	H15	H01					09/06/2017	32	B1
3	H16	H01					09/06/2017	26,7	B4
3	H17	H01					09/06/2017	26	B3
3	H18	H01					09/06/2017	28	VL
3	H19	H01					09/06/2017	22,7	B4
3	H20	H01					09/06/2017	22,9	FL
3	H21	H01					09/06/2017	20,6	B4
3	H22	H01					09/06/2017	22,7	B1
3	H23	H01					09/06/2017	19,7	B2
3	H24	H01					09/06/2017	21,1	B2
3	H25	H01					09/06/2017	23,3	B3
3	H26	H01					09/06/2017	32,4	FL
3	H27	H01					09/06/2017	32,9	B3
3	H28	H01					09/06/2017	31	B2
3	H29	H01					09/06/2017	19,7	B3
3	H30	H01					09/06/2017	18,4	B2
3	H31	H02					08/06/2017	16,6	B3
3	H32	H02					08/06/2017	18,4	B3
3	H33	H02					08/06/2017	12,8	B2
3	H34	H02					08/06/2017	14	B1
3	H35	H02					08/06/2017	11,9	B1
3	H36	H02					08/06/2017	12,6	VL
3	H37	H02					08/06/2017	13,6	B2
3	H38	H02					08/06/2017	14	B2
3	H39	H02					08/06/2017	14,6	VL
3	H40	H02					08/06/2017	22,8	VL
3	H41	H02					08/06/2017	16,9	VL
3	H42	H02					08/06/2017	23,9	VL
3	H43	H02					08/06/2017	14,2	B1
3	H44	H02					08/06/2017	X	X
3	H45	H02					08/06/2017	10,5	VL
3	H46	H02					08/06/2017	12,5	VL
3	H47	H02					08/06/2017	12	VL
3	H48	H02					08/06/2017	13,9	B1
3	H49	H02					08/06/2017	14,2	B3
3	H50	H02					08/06/2017	13,7	B1
3	H51	H02					08/06/2017	16,6	B2
3	H52	H02					08/06/2017	16	B1
3	H53	H02					08/06/2017	16,4	B1
3	H54	H02					08/06/2017	13,7	B2
3	H55	H02					08/06/2017	18,2	B2
3	H56	H02					08/06/2017	19,5	B1
3	H57	H02					08/06/2017	22,9	VL
3	H58	H02					08/06/2017	13,6	B2
3	H59	H02					08/06/2017	9,9	VL
3	H60	H02					08/06/2017	11,3	B2
3	H61	H03					08/06/2017	10,6	B2
3	H62	H03					08/06/2017	10,5	B2
3	H63	H03					08/06/2017	10,9	VL
3	H64	H03					08/06/2017	11,5	VL
3	H65	H03					08/06/2017	12	VL
3	H66	H03					08/06/2017	12,1	VL
3	H67	H03					08/06/2017	11,8	B2
3	H68	H03					08/06/2017	9,9	B1
3	H69	H03					08/06/2017	11,5	B2
3	H70	H03					08/06/2017	10,9	B3
3	H71	H03					08/06/2017	10,6	B1
3	H72	H03					08/06/2017	11	B2
3	H73	H03					08/06/2017	11,2	VL
3	H74	H03					08/06/2017	10	B1
3	H75	H03					08/06/2017	11,6	B1
3	H76	H03					08/06/2017	11,6	B1
3	H77	H03					08/06/2017	11,7	VL
3	H78	H03					08/06/2017	9,3	B3
3	H79	H03					08/06/2017	9,2	B4
3	H80	H03					08/06/2017	9	B2
3	H81	H03					08/06/2017	9	B2
3	H82	H03					08/06/2017	12,1	B4
3	H83	H03					08/06/2017	11,9	B1
3	H84	H03					08/06/2017	9,9	B2
3	H85	H03					08/06/2017	11,6	VL
3	H86	H03					08/06/2017	11,4	VL
3	H87	H03					08/06/2017	11	B2
3	H88	H03					08/06/2017	9,6	B4
3	H89	H03					08/06/2017	9,7	B2
3	H90	H03					08/06/2017	9,4	B2
3	H91	H04					08/06/2017	31,5	B4
3	H92	H04					08/06/2017	36,8	B1
3	H93	H04					08/06/2017	34,8	B2
3	H94	H04					08/06/2017	22,6	VL
3	H95	H04					08/06/2017	25,9	VL
3	H96	H04					08/06/2017	17	B1
3	H97	H04					08/06/2017	19,3	VL
3	H98	H04					08/06/2017	21	VS
3	H99	H04					08/06/2017	20	B2
3	H400	H04					08/06/2017	19,2	B1
3	H401	H04					08/06/2017	14,6	B2
3	H402	H04					08/06/2017	18	B2
3	H403	H04					08/06/2017	12	B2
3	H404	H04					08/06/2017	11,2	VL
3	H405	H04					08/06/2017	12	B2
3	H406	H04					08/06/2017	14,9	VL
3	H407	H04					08/06/2017	16,6	B2
3	H408	H04					08/06/2017	12	B2
3	H409	H04					08/06/2017	12	B1
3	H410	H04					08/06/2017	25,9	VL
3	H411	H04					08/06/2017	22	VL
3	H412	H04					08/06/2017	20,3	VL
3	H413	H04					08/06/2017	24	VL
3	H414	H04					08/06/2017	20,4	VL
3	H415	H04					08/06/2017	32,7	VS
3	H416	H04					08/06/2017	33,6	B1
3	H417	H04					08/06/2017	43,7	VL
3	H418	H04					08/06/2017	47,3	B1
3	H419	H04					08/06/2017	25,9	VL
3	H420	H05					08/06/2017	24,9	B1
3	H421	H05					08/06/2017	22,8	FL
3	H422	H05					08/06/2017	22,9	FL
3	H423	H05					08/06/2017	20,6	FL
3	H424	H05					08/06/2017	22	FL
3	H425	H05					08/06/2017	19,7	FL
3	H426	H05					08/06/2017	21,6	VL
3	H427	H05					08/06/2017	20,9	B2
3	H428	H05					08/06/2017	19,9	VL
3	H429	H05					08/06/2017	19	FL
3	H430	H05					08/06/2017	19,3	VL
3	H431	H05					08/06/2017	20,7	VS
3	H432	H05					08/06/2017	13,9	B1
3	H433	H05					08/06/2017	21,9	B2
3	H434	H05					08/06/2017	21	VL
3	H435	H05					08/06/2017	23	B2
3	H436	H05					08/06/2017	21,6	VL
3	H437	H05					08/06/2017	24	VL
3	H438	H05					08/06/2017	19,7	VL
3	H439	H05					08/06/2017	22,5	VL
3	H440	H05					08/06/2017	17	B4
3	H441	H05					08/06/2017	21,7	VL
3	H442	H05					08/06/2017	22,6	VL
3	H443	H05					08/06/2017	19,5	B3
3	H444	H05					08/06/2017	21,8	B2
3	H445	H05					08/06/2017	21,4	VL
3	H446	H05					08/06/2017	21,4	B1
3	H447	H05					08/06/2017	21,7	B2
3	H448	H05					08/06/2017	19	B3
3	H449	H05					08/06/2017	21	FL
3	H316	H08					09/06/2017	13	B1
3	H317	H08					09/06/2017	13,5	B1
3	H318	H08					09/06/2017	14,6	VL
3	H319	H08					09/06/2017	14,7	VL
3	H320	H08					09/06/2017	15	B2
3	H321	H08					09/06/2017	13,7	VL
3	H322	H08					09/06/2017	16	B1
3	H323	H08					09/06/2017	16	B2
3	H324	H08					09/06/2017	16,2	VL
3	H325	H08					09/06/2017	16	VL
3	H326	H08					09/06/2017	17,2	VS
3	H327	H08					09/06/2017	18	VL
3	H328	H08					09/06/2017	17,6	VL
3	H329	H08					09/06/2017	19,3	VL
3	H330	H08					09/06/2017	19,2	VL
3	H331	H08					09/06/2017	20,9	VL
3	H332	H08					09/06/2017	22	VL
3	H333	H08					09/06/2017	21,5	B4
3	H334	H08					09/06/2017	19,5	B1
3	H335	H08					09/06/2017	19	B3
3	H336	H08					09/06/2017	18,6	B2
3	H337	H08					09/06/2017	18,7	B2
3	H338	H08					09/06/2017	21	B2
3	H339	H08					09/06/2017	18,6	VL
3	H340	H08					09/06/2017	20,1	B2
3	H341	H08					09/06/2017	18,6	B3
3	H342	H08					09/06/2017	15	B1
3	H343	H08					09/06/2017	14,6	VL
3	H344	H08					09/06/2017	14	B1
3	H345	H08					09/06/2017	13,3	B1
3	H346	H09					09/06/2017	10	VL
3	H347	H09					09/06/2017	11	VL
3	H348	H09					09/06/2017	11,6	VL
3	H349	H09					09/06/2017	12	B1
3	H350	H09					09/06/2017	12	VL
3	H351	H09					09/06/2017	12	VL
3	H352	H09					09/06/2017	12	B2
3	H353	H09					09/06/2017	12	B1
3	H354	H09					09/06/2017	11,7	B2
3	H355	H09					09/06/2017	11,6	VL
3	H356	H09					09/06/2017	11,8	B2
3	H357	H09					09/06/2017	11,8	B1
3	H358	H09					09/06/2017	11,7	VL
3	H359	H09					09/06/2017	11,5	B3
3	H360	H09					09/06/2017	11,8	B2
3	H361	H09					09/06/2017	12,2	VL
3	H362	H09					09/06/2017	12	VL
3	H363	H09					09/06/2017	12	B2
3	H364	H09					09/06/2017	11,6	VS
3	H365	H09					09/06/2017	11	B2
3	H366	H09					09/06/2017	11	B1
3	H367	H09					09/06/2017	10,7	VS
3	H368	H09					09/06/2017	10,6	VS
3	H369	H09					09/06/2017	11	B2
3	H370	H09					09/06/2017	10	B2
3	H371	H09					09/06/2017	10,6	VL
3	H372	H09					09/06/2017	10,4	VL
3	H373	H09					09/06/2017	11	B1
3	H374	H09					09/06/2017	10,8	VS
3	H375	H09					09/06/2017	11,6	VL
3	H376	H10					08/06/2017	25	B4
3	H377	H10					08/06/2017	22,6	VL
3	H378	H10					08/06/2017	23,9	B2
3	H379	H10					08/06/2017	19,8	VL
3	H380	H10					08/06/2017	20,3	B1
3	H381	H10					08/06/2017	17,9	B1
3	H382	H10					08/06/2017	16,9	VL
3	H383	H10					08/06/2017	19,1	VL
3	H384	H10					08/06/2017	19	B2
3	H385	H10					08/06/2017	21,9	B2
3	H386	H10					08/06/2017	22	VL
3	H387	H10					08/06/2017	27,2	B4
3	H388	H10					08/06/2017	23,2	VL
3	H389	H10					08/06/2017	21,7	VL
3	H390	H10					08/06/2017	18	B2
3	H391	H10					08/06/2017	22,9	B4
3	H392	H10					08/06/2017	19,7	B3
3	H393	H10					08/06/2017	20,7	B3
3	H394	H10					08/06/2017	12	B2
3	H395	H10					08/06/2017	12,8	B1
3	H396	H10					08/06/2017	10	B1
3	H397	H10					08/06/2017	10,6	B1
3	H398	H10					08/06/2017	21,7	VL
3	H399	H10					08/06/2017	17,6	B4
3	H800	H10					08/06/2017	18	B1
3	H801	H10					08/06/2017	19	VL
3	H802	H10					08/06/2017	18,8	B2
3	H803	H10					08/06/2017	18,4	VL
3	H804	H10					08/06/2017	20	B4
3	H805	H10					08/06/2017	X	X
3	H806	H13					08/06/2017	22	B3
3	H807	H13					08/06/2017	22,7	B2
3	H808	H13					08/06/2017	23,3	VL
3	H809	H13					08/06/2017	25	VL
3	H810	H13					08/06/2017	25,7	B1
3	H811	H13					08/06/2017	26,5	B3
3	H812	H13					08/06/2017	30,1	B1
3	H813	H13					08/06/2017	25,6	B2
3	H814	H13					08/06/2017	24,6	B1
3	H815	H13					08/06/2017	27	FL
3	H816	H13					08/06/2017	23,4	FL
3	H817	H13					08/06/2017	23,9	B4
3	H818	H13					08/06/2017	23,1	FL
3	H819	H13					08/06/2017	23,6	FL
3	H820	H13					08/06/2017	25	B4
3	H821	H13					08/06/2017	22,4	VL
3	H822	H13					08/06/2017	25,9	FL
3	H823	H13					08/06/2017	25,4	FL
3	H824	H13					08/06/2017	27,4	B2
3	H825	H13					08/06/2017	33,4	B4
3	H826	H13					08/06/2017	22,7	VL
